TIME;VDD_SYS_GPU_CURRENT;VDD_SYS_GPU_VOLTAGE;VDD_SYS_GPU_POWER;VDD_SYS_SOC_CURRENT;VDD_SYS_SOC_VOLTAGE;VDD_SYS_SOC_POWER;VDD_4VO_WIFI_CURRENT;VDD_4VO_WIFI_VOLTAGE;VDD_4VO_WIFI_POWER;VDD_IN_CURRENT;VDD_IN_VOLTAGE;VDD_IN_POWER;VDD_SYS_CPU_CURRENT;VDD_SYS_CPU_VOLTAGE;VDD_SYS_CPU_POWER;VDD_SYS_DDR_CURRENT;VDD_SYS_DDR_VOLTAGE;VDD_SYS_DDR_POWER;VDD_MUX_CURRENT;VDD_MUX_VOLTAGE;VDD_MUX_POWER;VDD_5VO_IO_SYS_CURRENT;VDD_5VO_IO_SYS_VOLTAGE;VDD_5VO_IO_SYS_POWER;VDD_3V3_SYS_CURRENT;VDD_3V3_SYS_VOLTAGE;VDD_3V3_SYS_POWER;VDD_3V3_IO_SLP_CURRENT;VDD_3V3_IO_SLP_VOLTAGE;VDD_3V3_IO_SLP_POWER;VDD_1V8_IO_CURRENT;VDD_1V8_IO_VOLTAGE;VDD_1V8_IO_POWER;VDD_3V3_SYSi_M2_CURRENT;VDD_3V3_SYSi_M2_VOLTAGE;VDD_3V3_SYSi_M2_POWER;
46m 4s 64;8;19136;153;52;19128;994;0;4824;0;198;19128;3787;12;19128;229;256;4816;1232;14;19144;268;24;4992;119;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
46m 4s 176;8;19136;153;52;19128;994;0;4824;0;202;19128;3863;16;19128;306;256;4816;1232;14;19144;268;24;4992;119;12;3320;39;0;3320;0;0;1816;0;0;3320;0;
46m 4s 290;8;19136;153;52;19128;994;0;4824;0;202;19128;3863;16;19128;306;256;4816;1232;14;19144;268;24;4992;119;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
46m 4s 403;8;19136;153;52;19128;994;0;4824;0;204;19128;3902;16;19128;306;256;4816;1232;14;19144;268;24;4992;119;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
46m 4s 517;8;19136;153;52;19128;994;0;4824;0;204;19128;3902;20;19128;382;256;4816;1232;14;19144;268;24;4992;119;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
46m 4s 630;8;19136;153;52;19128;994;0;4824;0;204;19128;3902;20;19128;382;256;4816;1232;14;19144;268;24;4992;119;12;3320;39;0;3320;0;0;1816;0;0;3320;0;
46m 4s 743;8;19136;153;52;19128;994;0;4824;0;204;19128;3902;20;19128;382;256;4816;1232;12;19144;229;24;4992;119;12;3320;39;0;3320;0;0;1816;0;0;3320;0;
46m 4s 856;8;19136;153;52;19128;994;0;4824;0;204;19128;3902;20;19128;382;256;4816;1232;14;19144;268;24;4992;119;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
46m 4s 968;8;19136;153;52;19128;994;0;4824;0;206;19128;3940;20;19128;382;260;4816;1252;14;19144;268;24;4992;119;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
46m 5s 81;8;19136;153;52;19128;994;0;4824;0;206;19128;3940;20;19128;382;260;4816;1252;14;19144;268;24;4992;119;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
46m 5s 195;8;19136;153;52;19128;994;0;4824;0;206;19128;3940;20;19128;382;260;4816;1252;14;19144;268;24;4992;119;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
46m 5s 307;8;19136;153;52;19128;994;0;4824;0;206;19128;3940;20;19128;382;260;4816;1252;14;19144;268;24;4992;119;12;3320;39;0;3320;0;0;1816;0;0;3320;0;
46m 5s 420;8;19136;153;52;19128;994;0;4824;0;206;19128;3940;20;19128;382;260;4816;1252;14;19144;268;24;4992;119;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
46m 5s 533;8;19136;153;52;19128;994;0;4824;0;206;19128;3940;20;19128;382;260;4816;1252;14;19144;268;24;4992;119;12;3320;39;0;3320;0;0;1816;0;0;3320;0;
46m 5s 646;8;19136;153;52;19128;994;0;4824;0;208;19128;3978;20;19128;382;260;4816;1252;14;19144;268;24;4992;119;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
46m 5s 759;8;19136;153;52;19128;994;0;4824;0;208;19128;3978;20;19128;382;260;4816;1252;14;19144;268;24;4992;119;12;3320;39;0;3320;0;0;1816;0;0;3320;0;
46m 5s 872;8;19136;153;52;19128;994;0;4824;0;208;19128;3978;20;19128;382;260;4816;1252;14;19144;268;24;4992;119;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
46m 5s 986;8;19136;153;52;19128;994;0;4824;0;208;19128;3978;20;19128;382;260;4816;1252;14;19144;268;24;4992;119;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
46m 6s 99;8;19136;153;52;19128;994;0;4824;0;208;19128;3978;20;19128;382;260;4816;1252;14;19144;268;24;4992;119;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
46m 6s 213;8;19136;153;52;19128;994;0;4824;0;208;19128;3978;20;19128;382;260;4816;1252;14;19144;268;24;4992;119;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
46m 6s 326;8;19136;153;52;19128;994;0;4824;0;208;19128;3978;20;19128;382;260;4816;1252;14;19144;268;24;4992;119;12;3320;39;0;3320;0;0;1816;0;0;3320;0;
46m 6s 439;8;19136;153;52;19128;994;0;4824;0;208;19128;3978;20;19128;382;260;4816;1252;12;19144;229;24;4992;119;12;3320;39;0;3320;0;0;1816;0;0;3320;0;
46m 6s 552;8;19136;153;52;19128;994;0;4824;0;208;19128;3978;20;19128;382;260;4816;1252;14;19144;268;24;4992;119;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
46m 6s 667;8;19136;153;52;19128;994;0;4824;0;208;19128;3978;20;19128;382;260;4816;1252;14;19144;268;24;4992;119;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
46m 6s 781;8;19136;153;52;19128;994;0;4824;0;208;19128;3978;20;19128;382;260;4816;1252;12;19144;229;24;4992;119;12;3320;39;0;3320;0;0;1816;0;0;3320;0;
46m 6s 895;8;19136;153;52;19128;994;0;4824;0;208;19128;4016;20;19128;382;260;4816;1252;14;19144;268;24;4992;119;12;3320;39;0;3320;0;0;1816;0;0;3320;0;
46m 7s 4;8;19136;153;52;19128;994;0;4824;0;214;19128;4093;24;19128;459;260;4816;1252;14;19144;268;24;4992;119;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
46m 7s 113;8;19136;153;52;19128;994;0;4824;0;220;19128;4208;28;19128;535;264;4816;1271;12;19136;229;24;4992;119;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
46m 7s 227;8;19136;153;52;19128;994;0;4824;0;234;19120;4474;40;19120;764;268;4816;1290;14;19136;267;24;4992;119;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
46m 7s 341;8;19128;153;52;19128;994;0;4824;0;248;19120;4741;56;19120;1070;272;4816;1309;14;19136;267;24;4992;119;12;3320;39;0;3320;0;0;1816;0;0;3320;0;
46m 7s 453;8;19128;153;52;19120;994;0;4824;0;256;19120;4894;60;19120;1147;272;4816;1309;14;19136;267;24;4992;119;12;3320;39;0;3320;0;0;1816;0;0;3320;0;
46m 7s 567;8;19128;153;52;19120;994;0;4824;0;262;19120;5009;64;19120;1223;280;4816;1348;14;19136;267;24;4992;119;12;3320;39;0;3320;0;0;1816;0;0;3320;0;
46m 7s 681;8;19128;153;52;19120;994;0;4824;0;270;19120;5162;72;19120;1376;284;4816;1367;12;19136;229;24;4992;119;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
46m 7s 790;8;19128;153;52;19120;994;0;4824;0;272;19120;5200;68;19120;1300;292;4816;1406;12;19136;229;24;4992;119;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
46m 7s 898;8;19128;153;52;19120;994;0;4824;0;306;19112;5848;104;19112;1987;296;4816;1425;12;19128;229;24;4992;119;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
46m 8s 7;8;19120;152;52;19112;993;0;4824;0;334;19112;6383;132;19112;2522;292;4816;1406;12;19128;229;24;4992;119;12;3320;39;0;3320;0;0;1816;0;0;3320;0;
46m 8s 116;8;19120;152;52;19112;993;0;4824;0;354;19112;6765;152;19104;2903;292;4816;1406;12;19128;229;24;4992;119;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
46m 8s 225;8;19112;152;52;19112;993;0;4824;0;370;19112;7071;168;19104;3209;288;4816;1387;12;19128;229;24;4992;119;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
46m 8s 334;8;19112;152;52;19104;993;0;4824;0;382;19104;7297;184;19104;3515;288;4816;1387;12;19128;229;24;4992;119;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
46m 8s 442;8;19112;152;52;19104;993;0;4824;0;392;19104;7488;192;19104;3667;284;4816;1367;14;19128;267;24;4992;119;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
46m 8s 557;8;19112;152;52;19104;993;0;4824;0;398;19104;7603;200;19096;3819;284;4816;1367;14;19128;267;24;4992;119;12;3320;39;0;3320;0;0;1816;0;0;3320;0;
46m 8s 671;8;19112;152;52;19104;993;0;4824;0;394;19104;7526;192;19104;3667;284;4816;1367;14;19128;267;24;4992;119;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
46m 8s 785;8;19112;152;52;19104;993;0;4824;0;388;19104;7412;188;19104;3591;280;4816;1348;14;19128;267;24;4992;119;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
46m 8s 899;8;19120;152;52;19112;993;0;4824;0;366;19112;6994;168;19104;3209;276;4816;1329;14;19128;267;24;4992;119;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
46m 9s 13;8;19120;152;52;19112;993;0;4824;0;348;19112;6650;152;19104;2903;272;4816;1309;14;19128;267;24;4992;119;12;3320;39;0;3320;0;0;1816;0;0;3320;0;
46m 9s 128;8;19120;152;52;19112;993;0;4824;0;336;19112;6421;140;19112;2675;268;4816;1290;14;19128;267;24;4992;119;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
46m 9s 242;8;19120;152;52;19112;993;0;4824;0;326;19112;6230;132;19112;2522;264;4816;1271;12;19128;229;24;4992;119;12;3320;39;0;3320;0;0;1816;0;0;3320;0;
46m 9s 356;8;19120;152;52;19112;993;0;4824;0;318;19112;6077;124;19112;2369;264;4816;1271;12;19128;229;24;4992;119;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
46m 9s 470;8;19120;152;52;19120;994;0;4824;0;314;19112;6001;120;19112;2293;260;4816;1252;14;19128;267;24;4992;119;12;3320;39;0;3320;0;0;1816;0;0;3320;0;
46m 9s 584;8;19120;152;52;19120;994;0;4824;0;310;19112;5924;116;19112;2216;260;4816;1252;14;19128;267;24;4992;119;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
46m 9s 698;8;19128;153;52;19120;994;0;4824;0;306;19120;5850;116;19112;2140;260;4816;1252;14;19128;267;24;4992;119;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
46m 9s 813;8;19128;153;52;19120;994;0;4824;0;304;19120;5812;112;19112;2140;260;4816;1252;14;19136;267;24;4992;119;12;3320;39;0;3320;0;0;1816;0;0;3320;0;
46m 9s 927;8;19128;153;52;19120;994;0;4824;0;302;19120;5774;108;19112;2064;260;4816;1252;14;19136;267;24;4992;119;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
46m 10s 41;8;19128;153;52;19120;994;0;4824;0;298;19120;5736;108;19112;2064;256;4816;1232;14;19136;267;24;4992;119;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
46m 10s 155;8;19128;153;52;19120;994;0;4824;0;298;19120;5697;108;19112;2064;256;4816;1232;14;19136;267;24;4992;119;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
