TIME;VDD_SYS_GPU_CURRENT;VDD_SYS_GPU_VOLTAGE;VDD_SYS_GPU_POWER;VDD_SYS_SOC_CURRENT;VDD_SYS_SOC_VOLTAGE;VDD_SYS_SOC_POWER;VDD_4VO_WIFI_CURRENT;VDD_4VO_WIFI_VOLTAGE;VDD_4VO_WIFI_POWER;VDD_IN_CURRENT;VDD_IN_VOLTAGE;VDD_IN_POWER;VDD_SYS_CPU_CURRENT;VDD_SYS_CPU_VOLTAGE;VDD_SYS_CPU_POWER;VDD_SYS_DDR_CURRENT;VDD_SYS_DDR_VOLTAGE;VDD_SYS_DDR_POWER;VDD_MUX_CURRENT;VDD_MUX_VOLTAGE;VDD_MUX_POWER;VDD_5VO_IO_SYS_CURRENT;VDD_5VO_IO_SYS_VOLTAGE;VDD_5VO_IO_SYS_POWER;VDD_3V3_SYS_CURRENT;VDD_3V3_SYS_VOLTAGE;VDD_3V3_SYS_POWER;VDD_3V3_IO_SLP_CURRENT;VDD_3V3_IO_SLP_VOLTAGE;VDD_3V3_IO_SLP_POWER;VDD_1V8_IO_CURRENT;VDD_1V8_IO_VOLTAGE;VDD_1V8_IO_POWER;VDD_3V3_SYSi_M2_CURRENT;VDD_3V3_SYSi_M2_VOLTAGE;VDD_3V3_SYSi_M2_POWER;
56m 18s 973;8;19152;153;24;19144;459;0;4824;0;110;19136;2104;12;19136;229;52;4824;250;12;19152;229;24;4992;119;12;3320;39;0;3320;0;0;1816;0;0;3320;0;
56m 19s 85;8;19152;153;24;19144;459;0;4824;0;122;19136;2334;16;19136;306;72;4824;347;12;19144;229;24;4992;119;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
56m 19s 200;8;19144;153;24;19144;459;0;4824;0;124;19136;2372;16;19136;306;72;4824;347;12;19144;229;24;4992;119;12;3320;39;0;3320;0;0;1816;0;0;3320;0;
56m 19s 314;8;19144;153;24;19144;459;0;4824;0;124;19136;2372;16;19136;306;76;4824;366;12;19144;229;24;4992;119;12;3320;39;0;3320;0;0;1816;0;0;3320;0;
56m 19s 430;8;19144;153;24;19144;459;0;4824;0;124;19136;2372;16;19136;306;76;4824;366;12;19144;229;24;4992;119;12;3320;39;0;3320;0;0;1816;0;0;3320;0;
56m 19s 544;8;19144;153;24;19144;459;0;4824;0;124;19136;2372;16;19136;306;76;4824;366;14;19144;268;16;4992;79;12;3320;39;0;3320;0;0;1816;0;0;3320;0;
56m 19s 659;8;19144;153;24;19144;459;0;4824;0;126;19136;2411;20;19136;382;80;4824;385;12;19144;229;16;4992;119;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
56m 19s 774;8;19144;153;24;19144;459;0;4824;0;126;19136;2411;20;19136;382;80;4824;385;12;19144;229;16;4992;79;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
56m 19s 889;8;19144;153;24;19144;459;0;4824;0;126;19136;2411;20;19136;382;80;4824;385;14;19144;268;16;4992;79;12;3320;39;0;3320;0;0;1816;0;0;3320;0;
56m 20s 4;8;19144;153;24;19144;459;0;4824;0;126;19136;2411;20;19136;382;80;4824;385;14;19144;268;24;4992;119;12;3320;39;0;3320;0;0;1816;0;0;3320;0;
56m 20s 119;8;19144;153;24;19144;459;0;4824;0;126;19136;2411;20;19136;382;76;4824;366;14;19144;268;24;4992;119;12;3320;39;0;3320;0;0;1816;0;0;3320;0;
56m 20s 235;8;19144;153;24;19144;459;0;4824;0;126;19136;2411;20;19136;382;80;4824;385;12;19144;229;16;4992;79;12;3320;39;0;3320;0;0;1816;0;0;3320;0;
56m 20s 349;8;19144;153;24;19144;459;0;4824;0;126;19136;2411;20;19136;382;76;4824;366;12;19144;229;24;4992;119;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
56m 20s 463;8;19144;153;24;19144;459;0;4824;0;126;19136;2411;20;19136;382;76;4824;366;12;19144;229;24;4992;119;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
56m 20s 578;8;19144;153;24;19144;459;0;4824;0;128;19136;2449;20;19136;382;80;4824;385;12;19144;229;24;4992;119;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
56m 20s 692;8;19144;153;24;19144;459;0;4824;0;128;19136;2449;20;19136;382;80;4824;385;12;19144;229;24;4992;119;12;3320;39;0;3320;0;0;1816;0;0;3320;0;
56m 20s 809;8;19144;153;24;19136;459;0;4824;0;130;19136;2487;20;19136;382;84;4824;405;12;19144;229;24;4992;119;12;3320;39;0;3320;0;0;1816;0;0;3320;0;
56m 20s 924;8;19144;153;24;19144;459;0;4824;0;128;19136;2449;20;19136;382;80;4824;385;12;19144;229;24;4992;119;12;3320;39;0;3320;0;0;1816;0;0;3320;0;
56m 21s 39;8;19144;153;24;19144;459;0;4824;0;128;19136;2449;20;19136;382;80;4824;385;14;19144;268;24;4992;79;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
56m 21s 154;8;19144;153;24;19144;459;0;4824;0;128;19136;2449;20;19136;382;80;4824;385;14;19144;268;24;4992;119;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
56m 21s 270;8;19144;153;24;19144;459;0;4824;0;128;19136;2449;20;19136;382;76;4824;366;14;19144;268;24;4992;119;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
56m 21s 379;8;19144;153;24;19136;459;0;4824;0;128;19136;2449;20;19136;382;80;4824;385;14;19144;268;24;4992;119;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
56m 21s 494;8;19144;153;24;19136;459;0;4824;0;128;19136;2449;20;19136;382;80;4824;385;14;19144;268;16;4992;79;12;3320;39;0;3320;0;0;1816;0;0;3320;0;
56m 21s 611;8;19144;153;24;19144;459;0;4824;0;128;19136;2449;20;19136;382;80;4824;385;14;19144;268;24;4992;119;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
56m 21s 725;8;19144;153;24;19136;459;0;4824;0;130;19136;2487;20;19136;382;80;4824;385;14;19144;268;24;4992;119;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
56m 21s 840;8;19144;153;24;19144;459;0;4824;0;128;19136;2449;20;19136;382;76;4824;366;14;19144;268;24;4992;119;12;3320;39;0;3320;0;0;1816;0;0;3320;0;
56m 21s 953;8;19144;153;24;19144;459;4;4824;19;128;19136;2449;20;19136;382;76;4824;366;14;19144;268;24;4992;119;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
56m 22s 68;8;19144;153;24;19144;459;0;4824;0;130;19136;2487;20;19136;382;80;4824;385;14;19144;268;16;4992;79;12;3320;39;0;3320;0;0;1816;0;0;3320;0;
56m 22s 179;8;19144;153;24;19144;459;0;4824;0;130;19136;2487;20;19136;382;80;4824;385;14;19144;268;16;4992;79;12;3320;39;0;3320;0;0;1816;0;0;3320;0;
56m 22s 294;8;19144;153;24;19136;459;0;4824;0;128;19136;2449;20;19136;382;80;4824;385;14;19144;268;16;4992;79;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
56m 22s 410;8;19144;153;24;19144;459;0;4824;0;128;19136;2449;20;19136;382;80;4824;385;14;19144;268;16;4992;79;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
56m 22s 524;8;19144;153;24;19144;459;0;4824;0;128;19136;2449;20;19136;382;80;4824;385;14;19144;268;16;4992;79;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
56m 22s 639;8;19144;153;24;19136;459;0;4824;0;130;19136;2487;20;19136;382;84;4824;405;14;19144;268;16;4992;119;12;3320;39;0;3320;0;0;1816;0;0;3320;0;
56m 22s 754;8;19144;153;24;19144;459;0;4824;0;130;19136;2487;20;19136;382;80;4824;385;14;19144;268;24;4992;119;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
56m 22s 868;8;19144;153;24;19136;459;0;4824;0;130;19136;2487;20;19136;382;80;4824;385;14;19144;268;24;4992;119;12;3320;39;0;3320;0;0;1816;0;0;3320;0;
56m 22s 981;8;19144;153;24;19136;459;0;4824;0;132;19136;2525;20;19136;382;84;4824;405;14;19144;268;24;4992;119;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
56m 23s 95;8;19144;153;28;19136;535;0;4824;0;154;19136;2946;28;19136;612;112;4824;559;14;19144;268;24;5000;119;12;3320;39;0;3320;0;0;1816;0;0;3320;0;
56m 23s 204;8;19144;153;28;19136;535;0;4824;0;158;19136;3023;32;19136;612;120;4824;578;14;19144;268;24;4992;119;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
56m 23s 312;8;19144;153;36;19136;688;0;4824;0;182;19128;3481;44;19128;841;152;4824;733;14;19144;268;24;4992;119;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
56m 23s 426;8;19136;153;40;19128;765;0;4824;0;208;19128;3978;56;19128;1071;180;4824;868;14;19144;268;24;4992;119;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
56m 23s 540;8;19136;153;40;19128;765;0;4824;0;230;19128;4399;68;19120;1300;200;4824;964;14;19136;267;24;4992;119;12;3320;39;0;3320;0;0;1816;0;0;3320;0;
56m 23s 654;8;19128;153;44;19128;841;0;4824;0;246;19120;4703;80;19120;1529;212;4824;1022;14;19136;267;24;4992;119;12;3320;39;0;3320;0;0;1816;0;0;3320;0;
56m 23s 768;8;19128;153;44;19120;841;0;4824;0;258;19120;4932;84;19120;1606;224;4824;1080;14;19136;267;24;4992;119;12;3320;39;0;3320;0;0;1816;0;0;3320;0;
56m 23s 882;8;19128;153;48;19120;917;0;4824;0;266;19120;5085;92;19120;1759;232;4824;1119;14;19136;267;24;4992;119;12;3320;39;0;3320;0;0;1816;0;0;3320;0;
56m 23s 996;8;19128;153;48;19120;917;0;4824;0;274;19120;5238;96;19120;1835;240;4824;1157;14;19136;267;16;4992;79;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
56m 24s 110;8;19128;153;48;19120;917;0;4824;0;278;19120;5315;100;19120;1912;244;4824;1177;14;19136;267;24;4992;119;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
56m 24s 223;8;19128;153;48;19120;917;0;4824;0;284;19120;5430;100;19112;1911;248;4824;1196;14;19136;267;24;4992;119;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
56m 24s 337;8;19128;153;48;19120;917;0;4824;0;286;19120;5468;104;19112;1987;252;4824;1215;14;19136;267;24;4992;119;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
56m 24s 451;8;19128;153;52;19120;994;0;4824;0;290;19120;5544;104;19112;1987;252;4824;1215;14;19136;267;24;4992;119;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
56m 24s 565;8;19128;153;52;19120;994;0;4824;0;292;19120;5583;104;19112;1987;256;4824;1234;14;19136;267;24;4992;119;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
56m 24s 679;8;19128;153;52;19120;994;0;4824;0;294;19120;5621;104;19112;1987;256;4824;1234;14;19136;267;24;4992;119;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
56m 24s 793;8;19128;153;52;19120;994;0;4824;0;294;19120;5621;108;19112;2064;256;4824;1232;14;19136;267;24;4992;119;12;3320;39;0;3320;0;0;1816;0;0;3320;0;
56m 24s 907;8;19128;153;52;19120;994;0;4824;0;296;19120;5659;108;19112;2064;256;4824;1234;14;19136;267;24;4992;119;12;3320;39;0;3320;0;0;1816;0;0;3320;0;
56m 25s 21;8;19128;153;52;19120;994;0;4824;0;296;19120;5659;108;19112;2064;256;4824;1234;14;19136;267;24;4992;119;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
56m 25s 135;8;19128;153;52;19120;994;4;4824;19;298;19120;5697;108;19112;2064;256;4824;1234;14;19136;267;24;4992;119;12;3320;39;0;3320;0;0;1816;0;0;3320;0;
56m 25s 248;8;19128;153;52;19120;994;0;4824;0;298;19120;5697;108;19112;2064;256;4816;1232;14;19128;267;24;4992;119;12;3320;39;0;3320;0;0;1816;0;0;3320;0;
56m 25s 362;8;19128;153;52;19120;994;0;4824;0;298;19120;5697;108;19112;2064;256;4816;1232;14;19128;267;24;4992;119;12;3320;39;0;3320;0;0;1816;0;0;3320;0;
56m 25s 476;8;19128;153;52;19120;994;0;4824;0;298;19120;5697;108;19112;2064;260;4824;1254;14;19136;267;16;4992;79;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
56m 25s 590;8;19128;153;52;19120;994;0;4824;0;298;19120;5697;108;19112;2064;260;4824;1254;14;19136;267;16;4992;79;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
56m 25s 704;8;19128;153;52;19120;994;0;4824;0;298;19120;5697;108;19112;2064;260;4824;1254;14;19136;267;24;4992;119;12;3320;39;0;3320;0;0;1816;0;0;3320;0;
56m 25s 818;8;19128;153;52;19120;994;0;4824;0;298;19120;5697;108;19112;2064;260;4824;1252;14;19128;267;24;4992;119;12;3320;39;0;3320;0;0;1816;0;0;3320;0;
56m 25s 932;8;19128;153;52;19120;994;0;4824;0;298;19120;5697;108;19112;2064;260;4824;1254;14;19136;267;24;4992;119;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
56m 26s 46;8;19128;153;52;19120;994;0;4824;0;298;19120;5697;108;19112;2064;260;4816;1252;14;19136;267;16;4992;79;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
56m 26s 160;8;19128;153;52;19120;994;0;4824;0;300;19120;5736;108;19112;2064;260;4824;1254;14;19136;267;24;4992;119;12;3320;39;0;3320;0;0;1816;0;0;3320;0;
56m 26s 274;8;19128;153;52;19120;994;0;4824;0;298;19120;5697;108;19112;2064;260;4816;1252;14;19136;267;24;4992;119;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
56m 26s 388;8;19128;153;52;19120;994;0;4824;0;300;19120;5736;108;19112;2064;260;4816;1252;14;19128;267;24;4992;119;12;3320;39;0;3320;0;0;1816;0;0;3320;0;
56m 26s 501;8;19128;153;52;19120;994;0;4824;0;300;19120;5736;108;19112;2064;260;4816;1252;14;19136;267;24;4992;119;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
56m 26s 615;8;19128;153;52;19120;994;0;4824;0;300;19120;5736;108;19112;2064;260;4824;1254;14;19136;267;24;4992;119;12;3320;39;0;3320;0;0;1816;0;0;3320;0;
56m 26s 729;8;19128;153;52;19120;994;0;4824;0;300;19120;5736;108;19112;2064;260;4824;1254;14;19128;267;16;4992;79;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
56m 26s 843;8;19128;153;52;19120;994;0;4824;0;300;19120;5736;108;19112;2064;260;4824;1254;14;19128;267;24;4992;119;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
56m 26s 957;8;19128;153;52;19120;994;0;4824;0;300;19120;5736;108;19112;2064;260;4824;1254;14;19136;267;24;4992;119;12;3320;39;0;3320;0;0;1816;0;0;3320;0;
56m 27s 71;8;19128;153;52;19120;994;0;4824;0;300;19120;5736;108;19112;2064;260;4816;1252;14;19136;267;16;4992;119;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
56m 27s 185;8;19128;153;52;19120;994;0;4824;0;300;19120;5736;108;19112;2064;260;4816;1252;14;19128;267;16;4992;79;12;3320;39;0;3320;0;0;1816;0;0;3320;0;
56m 27s 299;8;19128;153;52;19120;994;0;4824;0;300;19120;5736;108;19112;2064;260;4824;1254;14;19136;267;24;4992;119;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
56m 27s 413;8;19128;153;52;19120;994;0;4824;0;300;19120;5736;108;19112;2064;260;4816;1252;14;19136;267;24;4992;119;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
56m 27s 527;8;19128;153;52;19120;994;0;4824;0;300;19120;5736;108;19112;2064;260;4816;1252;14;19136;267;24;4992;119;12;3320;39;0;3320;0;0;1816;0;0;3320;0;
56m 27s 641;8;19128;153;52;19120;994;0;4824;0;300;19120;5736;108;19112;2064;260;4824;1254;14;19128;267;24;4992;119;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
56m 27s 755;8;19128;153;52;19120;994;0;4824;0;300;19120;5736;108;19112;2064;260;4816;1252;14;19128;267;24;4992;119;12;3320;39;0;3320;0;0;1816;0;0;3320;0;
56m 27s 869;8;19128;153;52;19120;994;0;4824;0;300;19120;5736;108;19112;2064;260;4824;1254;14;19136;267;24;4992;119;12;3320;39;0;3320;0;0;1816;0;0;3320;0;
56m 27s 983;8;19128;153;52;19120;994;0;4824;0;300;19120;5736;108;19112;2064;260;4824;1254;14;19136;267;16;4992;79;12;3320;39;0;3320;0;0;1816;0;0;3320;0;
56m 28s 97;8;19128;153;52;19120;994;0;4824;0;300;19120;5736;108;19112;2064;260;4824;1254;14;19136;267;16;4992;79;12;3320;39;0;3320;0;0;1816;0;0;3320;0;
56m 28s 211;8;19128;153;52;19120;994;0;4824;0;300;19120;5736;108;19112;2064;260;4824;1254;14;19136;267;16;4992;79;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
56m 28s 325;8;19128;153;52;19120;994;0;4824;0;300;19120;5736;108;19112;2064;260;4824;1254;14;19128;267;24;4992;119;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
