TIME;VDD_SYS_GPU_CURRENT;VDD_SYS_GPU_VOLTAGE;VDD_SYS_GPU_POWER;VDD_SYS_SOC_CURRENT;VDD_SYS_SOC_VOLTAGE;VDD_SYS_SOC_POWER;VDD_4VO_WIFI_CURRENT;VDD_4VO_WIFI_VOLTAGE;VDD_4VO_WIFI_POWER;VDD_IN_CURRENT;VDD_IN_VOLTAGE;VDD_IN_POWER;VDD_SYS_CPU_CURRENT;VDD_SYS_CPU_VOLTAGE;VDD_SYS_CPU_POWER;VDD_SYS_DDR_CURRENT;VDD_SYS_DDR_VOLTAGE;VDD_SYS_DDR_POWER;VDD_MUX_CURRENT;VDD_MUX_VOLTAGE;VDD_MUX_POWER;VDD_5VO_IO_SYS_CURRENT;VDD_5VO_IO_SYS_VOLTAGE;VDD_5VO_IO_SYS_POWER;VDD_3V3_SYS_CURRENT;VDD_3V3_SYS_VOLTAGE;VDD_3V3_SYS_POWER;VDD_3V3_IO_SLP_CURRENT;VDD_3V3_IO_SLP_VOLTAGE;VDD_3V3_IO_SLP_POWER;VDD_1V8_IO_CURRENT;VDD_1V8_IO_VOLTAGE;VDD_1V8_IO_POWER;VDD_3V3_SYSi_M2_CURRENT;VDD_3V3_SYSi_M2_VOLTAGE;VDD_3V3_SYSi_M2_POWER;
33m 0s 995;8;19152;153;20;19144;382;0;4824;0;110;19136;2104;12;19136;229;52;4824;250;14;19152;268;24;4992;119;12;3320;39;0;3320;0;0;1816;0;0;3320;0;
33m 1s 108;8;19144;153;24;19144;459;0;4824;0;118;19136;2258;16;19136;306;64;4824;308;14;19144;268;24;4992;119;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
33m 1s 224;8;19144;153;24;19144;459;0;4824;0;118;19136;2258;16;19136;306;68;4824;328;14;19144;268;24;4992;119;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
33m 1s 338;8;19144;153;24;19144;459;0;4824;0;120;19136;2296;16;19136;306;72;4824;347;14;19144;268;24;4992;119;12;3320;39;0;3320;0;0;1816;0;0;3320;0;
33m 1s 453;8;19144;153;24;19144;459;0;4824;0;122;19136;2334;16;19136;306;72;4824;347;14;19144;268;24;4992;119;12;3320;39;0;3320;0;0;1816;0;0;3320;0;
33m 1s 568;8;19144;153;24;19144;459;0;4824;0;122;19136;2334;16;19136;306;72;4824;347;14;19144;268;24;4992;119;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
33m 1s 685;8;19144;153;24;19144;459;0;4824;0;122;19136;2334;16;19136;306;72;4824;347;14;19144;268;24;4992;119;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
33m 1s 799;8;19144;153;24;19144;459;0;4824;0;122;19136;2334;16;19136;306;72;4824;347;12;19144;229;24;4992;119;12;3320;39;0;3320;0;0;1816;0;0;3320;0;
33m 1s 914;8;19144;153;24;19144;459;0;4824;0;122;19136;2334;16;19136;306;76;4824;366;12;19144;229;24;4992;119;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
33m 2s 28;8;19144;153;24;19136;459;0;4824;0;124;19136;2372;20;19136;382;76;4824;366;12;19144;229;24;4992;119;12;3320;39;0;3320;0;0;1816;0;0;3320;0;
33m 2s 144;8;19144;153;24;19136;459;0;4824;0;124;19136;2372;20;19136;382;76;4824;366;12;19144;229;24;4992;119;12;3320;39;0;3320;0;0;1816;0;0;3320;0;
33m 2s 259;8;19144;153;24;19136;459;0;4824;0;126;19136;2411;20;19136;382;76;4824;366;12;19144;229;24;4992;119;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
33m 2s 372;8;19144;153;24;19144;459;0;4824;0;126;19136;2411;20;19136;382;76;4824;366;14;19144;268;24;4992;119;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
33m 2s 488;8;19144;153;24;19144;459;0;4824;0;126;19136;2411;20;19136;382;76;4824;366;12;19144;229;24;4992;119;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
33m 2s 604;8;19144;153;24;19136;459;0;4824;0;126;19136;2411;16;19136;306;76;4824;366;14;19144;268;24;4992;119;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
33m 2s 718;8;19144;153;24;19144;459;0;4824;0;126;19136;2411;16;19136;306;76;4824;366;12;19144;229;24;4992;119;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
33m 2s 834;8;19144;153;24;19144;459;0;4824;0;126;19136;2411;20;19136;382;76;4824;366;12;19144;268;24;4992;119;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
33m 2s 948;8;19144;153;24;19136;459;0;4824;0;126;19136;2411;20;19136;382;76;4824;366;12;19144;229;24;4992;119;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
33m 3s 62;8;19144;153;24;19136;459;0;4824;0;126;19136;2411;16;19136;306;76;4824;366;12;19144;229;24;4992;119;12;3320;39;0;3320;0;0;1816;0;0;3320;0;
33m 3s 176;8;19144;153;24;19136;459;0;4824;0;126;19136;2411;16;19136;382;76;4824;366;12;19144;229;24;4992;119;12;3320;39;0;3320;0;0;1816;0;0;3320;0;
33m 3s 291;8;19144;153;24;19144;459;0;4824;0;126;19136;2411;16;19136;306;76;4824;366;12;19144;229;24;4992;119;12;3320;39;0;3320;0;0;1816;0;0;3320;0;
33m 3s 404;8;19144;153;24;19136;459;0;4824;0;126;19136;2411;16;19136;306;76;4824;366;12;19144;229;24;4992;119;12;3320;39;0;3320;0;0;1816;0;0;3320;0;
33m 3s 518;8;19144;153;24;19136;459;0;4824;0;126;19136;2411;20;19136;382;76;4824;366;12;19144;229;24;4992;119;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
33m 3s 633;8;19144;153;24;19136;459;0;4824;0;128;19136;2449;20;19136;382;76;4824;366;14;19144;268;24;4992;119;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
33m 3s 748;8;19144;153;24;19136;459;0;4824;0;128;19136;2449;20;19136;382;76;4824;366;14;19144;268;24;4992;119;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
33m 3s 864;8;19144;153;24;19136;459;0;4824;0;128;19136;2449;20;19136;382;76;4824;366;14;19144;268;24;4992;119;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
33m 3s 977;8;19144;153;24;19136;459;0;4824;0;126;19136;2411;20;19136;382;76;4824;366;14;19144;268;24;4992;119;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
33m 4s 91;8;19144;153;24;19136;459;0;4824;0;126;19136;2411;20;19136;382;76;4824;366;14;19144;268;24;4992;119;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
33m 4s 206;8;19144;153;24;19136;459;0;4824;0;128;19136;2449;20;19136;382;76;4824;366;14;19144;268;24;4992;119;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
33m 4s 321;8;19144;153;24;19136;459;0;4824;0;128;19136;2449;20;19136;382;80;4824;385;14;19144;268;24;4992;119;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
33m 4s 436;8;19144;153;24;19136;459;0;4824;0;128;19136;2449;20;19136;382;76;4824;366;12;19144;229;24;4992;119;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
33m 4s 551;8;19144;153;24;19136;459;0;4824;0;126;19136;2411;20;19136;382;76;4824;366;14;19144;268;24;4992;119;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
33m 4s 666;8;19144;153;24;19136;459;0;4824;0;126;19136;2411;16;19136;306;76;4824;366;14;19144;268;24;4992;119;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
33m 4s 781;8;19144;153;24;19136;459;0;4824;0;126;19136;2411;20;19136;382;76;4824;366;14;19144;268;24;4992;119;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
33m 4s 897;8;19144;153;24;19136;459;0;4824;0;126;19136;2411;20;19136;382;76;4824;366;14;19144;268;24;4992;119;12;3320;39;0;3320;0;0;1816;0;0;3320;0;
33m 5s 11;8;19144;153;24;19136;459;0;4824;0;126;19136;2411;20;19136;382;76;4824;366;14;19144;268;24;4992;119;12;3320;39;0;3320;0;0;1816;0;0;3320;0;
33m 5s 122;8;19144;153;24;19136;459;0;4824;0;128;19136;2449;20;19136;382;80;4824;385;14;19144;268;24;4992;119;12;3320;39;0;3320;0;0;1816;0;0;3320;0;
33m 5s 231;8;19144;153;24;19136;459;0;4824;0;140;19136;2679;24;19136;459;96;4824;463;14;19144;268;24;4992;119;12;3320;39;0;3320;0;0;1816;0;0;3320;0;
33m 5s 343;8;19144;153;28;19136;535;0;4824;0;150;19136;2870;28;19128;535;112;4824;540;14;19144;268;24;4992;119;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
33m 5s 455;8;19144;153;32;19136;612;0;4824;0;158;19128;3022;32;19128;612;128;4824;617;12;19144;229;24;4992;119;12;3320;39;0;3320;0;0;1816;0;0;3320;0;
33m 5s 567;8;19144;153;32;19136;612;0;4824;0;166;19128;3175;32;19128;612;136;4824;656;12;19144;229;24;4992;119;12;3320;39;0;3320;0;0;1816;0;0;3320;0;
33m 5s 681;8;19144;153;32;19136;612;0;4824;0;170;19128;3251;36;19128;688;144;4824;694;14;19144;268;24;4992;119;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
33m 5s 795;8;19144;153;36;19136;688;0;4824;0;174;19128;3328;36;19128;688;148;4824;713;14;19144;268;24;4992;119;12;3320;39;0;3320;0;0;1816;0;0;3320;0;
33m 5s 910;8;19136;153;36;19136;688;0;4824;0;178;19128;3404;36;19128;688;156;4824;752;14;19144;268;24;4992;119;12;3320;39;0;3320;0;0;1816;0;0;3320;0;
33m 6s 23;8;19136;153;36;19136;688;4;4824;19;182;19128;3481;40;19128;765;160;4824;771;12;19144;229;24;4992;119;12;3320;39;0;3320;0;0;1816;0;0;3320;0;
