TIME;VDD_SYS_GPU_CURRENT;VDD_SYS_GPU_VOLTAGE;VDD_SYS_GPU_POWER;VDD_SYS_SOC_CURRENT;VDD_SYS_SOC_VOLTAGE;VDD_SYS_SOC_POWER;VDD_4VO_WIFI_CURRENT;VDD_4VO_WIFI_VOLTAGE;VDD_4VO_WIFI_POWER;VDD_IN_CURRENT;VDD_IN_VOLTAGE;VDD_IN_POWER;VDD_SYS_CPU_CURRENT;VDD_SYS_CPU_VOLTAGE;VDD_SYS_CPU_POWER;VDD_SYS_DDR_CURRENT;VDD_SYS_DDR_VOLTAGE;VDD_SYS_DDR_POWER;VDD_MUX_CURRENT;VDD_MUX_VOLTAGE;VDD_MUX_POWER;VDD_5VO_IO_SYS_CURRENT;VDD_5VO_IO_SYS_VOLTAGE;VDD_5VO_IO_SYS_POWER;VDD_3V3_SYS_CURRENT;VDD_3V3_SYS_VOLTAGE;VDD_3V3_SYS_POWER;VDD_3V3_IO_SLP_CURRENT;VDD_3V3_IO_SLP_VOLTAGE;VDD_3V3_IO_SLP_POWER;VDD_1V8_IO_CURRENT;VDD_1V8_IO_VOLTAGE;VDD_1V8_IO_POWER;VDD_3V3_SYSi_M2_CURRENT;VDD_3V3_SYSi_M2_VOLTAGE;VDD_3V3_SYSi_M2_POWER;
34m 3s 233;8;19152;153;20;19144;382;0;4824;0;110;19136;2104;12;19136;229;48;4824;231;14;19152;268;24;4992;119;12;3320;39;0;3320;0;0;1816;0;0;3320;0;
34m 3s 346;8;19144;153;24;19144;459;0;4824;0;116;19136;2219;16;19136;306;60;4824;289;14;19152;268;24;4992;119;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
34m 3s 461;8;19144;153;24;19144;459;0;4824;0;118;19136;2258;16;19136;306;64;4824;308;14;19144;268;24;4992;119;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
34m 3s 575;8;19144;153;24;19144;459;0;4824;0;120;19136;2296;16;19136;306;68;4824;328;14;19152;268;24;4992;119;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
34m 3s 687;8;19144;153;24;19144;459;0;4824;0;120;19136;2296;16;19136;306;72;4824;347;14;19144;268;24;4992;119;12;3320;39;0;3320;0;0;1816;0;0;3320;0;
34m 3s 801;8;19144;153;24;19144;459;4;4824;19;122;19136;2334;16;19136;306;72;4824;347;14;19144;268;24;4992;119;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
34m 3s 917;8;19144;153;24;19144;459;0;4824;0;122;19136;2334;16;19136;306;72;4824;347;14;19152;268;24;4992;119;12;3320;39;0;3320;0;0;1816;0;0;3320;0;
34m 4s 32;8;19144;153;24;19144;459;0;4824;0;122;19136;2334;16;19136;306;72;4824;347;14;19152;268;24;4992;119;12;3320;39;0;3320;0;0;1816;0;0;3320;0;
34m 4s 147;8;19144;153;24;19136;459;0;4824;0;122;19136;2334;16;19136;306;76;4824;366;14;19144;268;24;4992;119;12;3320;39;0;3320;0;0;1816;0;0;3320;0;
34m 4s 264;8;19144;153;24;19136;459;0;4824;0;124;19136;2334;16;19136;306;76;4824;366;14;19144;268;24;4992;119;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
34m 4s 379;8;19144;153;24;19136;459;0;4824;0;130;19136;2487;16;19136;306;76;4824;366;14;19144;268;24;4992;119;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
34m 4s 493;8;19144;153;24;19136;459;0;4824;0;134;19136;2564;16;19136;306;76;4824;366;14;19144;268;24;4992;119;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
34m 4s 607;8;19144;153;24;19136;459;0;4824;0;132;19136;2525;16;19136;306;76;4824;366;14;19144;268;24;4992;119;12;3320;39;0;3320;0;0;1816;0;0;3320;0;
34m 4s 723;8;19144;153;24;19136;459;0;4824;0;130;19136;2487;16;19136;306;76;4824;366;14;19144;268;24;4992;119;12;3320;39;0;3320;0;0;1816;0;0;3320;0;
34m 4s 837;8;19144;153;24;19136;459;0;4824;0;128;19136;2449;16;19136;306;76;4824;366;14;19144;268;24;4992;119;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
34m 4s 951;8;19144;153;24;19136;459;0;4824;0;128;19136;2449;16;19136;306;76;4824;366;14;19144;268;24;4992;119;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
34m 5s 66;8;19144;153;24;19136;459;0;4824;0;128;19136;2449;16;19136;306;76;4824;366;14;19144;268;24;4992;119;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
34m 5s 180;8;19144;153;24;19136;459;0;4824;0;128;19136;2449;16;19136;306;76;4824;366;14;19144;268;24;4992;119;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
34m 5s 294;8;19144;153;24;19136;459;0;4824;0;128;19136;2449;16;19136;306;76;4824;366;14;19144;268;24;4992;119;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
34m 5s 409;8;19144;153;24;19136;459;0;4824;0;128;19136;2449;16;19136;306;76;4824;366;14;19144;268;24;4992;119;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
34m 5s 523;8;19144;153;24;19136;459;0;4824;0;128;19136;2449;20;19136;382;76;4824;366;14;19144;268;24;4992;119;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
34m 5s 637;8;19144;153;24;19136;459;0;4824;0;126;19136;2411;16;19136;306;76;4824;366;14;19144;268;24;4992;119;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
34m 5s 752;8;19144;153;24;19136;459;0;4824;0;126;19136;2411;16;19136;306;76;4824;366;14;19144;268;24;4992;119;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
34m 5s 867;8;19144;153;24;19136;459;0;4824;0;126;19136;2411;16;19136;306;76;4824;366;14;19144;268;24;4992;119;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
34m 5s 982;8;19144;153;24;19136;459;0;4824;0;128;19136;2449;20;19136;382;80;4824;385;14;19144;268;24;4992;119;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
34m 6s 96;8;19144;153;24;19136;459;4;4824;19;128;19136;2449;20;19136;382;76;4824;366;14;19144;229;24;4992;119;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
34m 6s 212;8;19144;153;24;19136;459;0;4824;0;128;19136;2449;20;19136;382;80;4824;385;14;19144;268;24;4992;119;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
34m 6s 328;8;19144;153;24;19136;459;0;4824;0;126;19136;2411;16;19136;306;76;4824;366;14;19144;268;24;4992;119;12;3320;39;0;3320;0;0;1816;0;0;3320;0;
34m 6s 442;8;19144;153;24;19136;459;0;4824;0;126;19136;2411;20;19136;382;76;4824;366;14;19144;268;24;4992;119;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
34m 6s 557;8;19144;153;24;19136;459;0;4824;0;126;19136;2411;20;19136;382;76;4824;366;14;19144;268;24;4992;119;12;3320;39;0;3320;0;0;1816;0;0;3320;0;
34m 6s 670;8;19144;153;24;19136;459;0;4824;0;126;19136;2411;20;19136;382;76;4824;366;14;19144;268;24;4992;119;12;3320;39;0;3320;0;0;1816;0;0;3320;0;
34m 6s 786;8;19144;153;24;19136;459;0;4824;0;126;19136;2411;20;19136;382;76;4824;366;14;19144;268;24;4992;119;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
34m 6s 900;8;19144;153;24;19136;459;0;4824;0;128;19136;2449;20;19136;382;80;4824;385;14;19144;268;24;4992;119;12;3320;39;0;3320;0;0;1816;0;0;3320;0;
34m 7s 14;8;19144;153;24;19136;459;0;4824;0;128;19136;2449;20;19136;382;76;4824;366;14;19144;268;24;4992;119;12;3320;39;0;3320;0;0;1816;0;0;3320;0;
34m 7s 127;8;19144;153;24;19136;459;0;4824;0;128;19136;2449;20;19136;382;76;4824;366;12;19144;268;24;4992;119;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
34m 7s 236;8;19144;153;24;19136;459;0;4824;0;130;19136;2487;20;19136;382;84;4824;405;12;19144;229;24;4992;119;12;3320;39;0;3320;0;0;1816;0;0;3320;0;
34m 7s 347;8;19144;153;24;19136;459;0;4824;0;136;19136;2602;20;19136;382;96;4824;463;14;19144;268;24;4992;119;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
34m 7s 461;8;19144;153;28;19136;535;0;4824;0;150;19136;2870;24;19136;459;116;4824;559;14;19144;268;24;4992;119;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
34m 7s 575;8;19144;153;32;19136;612;0;4824;0;164;19128;3136;32;19128;612;132;4824;636;14;19144;268;24;4992;119;12;3320;39;0;3320;0;0;1816;0;0;3320;0;
34m 7s 689;8;19144;153;32;19136;612;0;4824;0;174;19128;3328;36;19128;688;144;4824;694;14;19144;268;24;4992;119;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
34m 7s 803;8;19136;153;32;19136;612;0;4824;0;180;19128;3443;40;19128;765;156;4824;752;14;19144;268;24;4992;119;12;3320;39;0;3320;0;0;1816;0;0;3320;0;
34m 7s 917;8;19136;153;36;19128;688;0;4824;0;186;19128;3557;44;19128;841;160;4824;771;14;19144;268;24;4992;119;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
34m 8s 31;8;19136;153;36;19128;688;0;4824;0;190;19128;3634;44;19128;841;168;4824;810;14;19144;268;24;4992;119;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
34m 8s 145;8;19136;153;36;19128;688;0;4824;0;194;19128;3710;44;19128;841;172;4824;829;14;19144;268;24;4992;119;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
34m 8s 259;8;19136;153;36;19128;688;0;4824;0;196;19128;3749;48;19128;918;176;4824;849;14;19144;268;24;4992;119;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
34m 8s 373;8;19136;153;36;19128;688;0;4824;0;198;19128;3787;48;19128;918;176;4824;849;14;19144;268;24;4992;119;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
34m 8s 487;8;19136;153;36;19128;688;0;4824;0;200;19128;3825;48;19128;918;180;4824;868;14;19144;268;24;4992;119;12;3320;39;0;3320;0;0;1816;0;0;3320;0;
34m 8s 601;8;19136;153;36;19128;688;0;4824;0;204;19128;3902;52;19128;994;180;4824;868;14;19144;268;24;4992;119;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
34m 8s 715;8;19136;153;36;19128;688;0;4824;0;204;19128;3902;48;19128;918;184;4824;887;14;19144;268;24;4992;119;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
34m 8s 828;8;19136;153;36;19128;688;0;4824;0;206;19128;3940;52;19128;994;184;4824;887;14;19136;267;24;4992;119;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
34m 8s 942;8;19136;153;36;19128;688;0;4824;0;206;19128;3940;52;19128;994;184;4824;887;14;19144;268;24;4992;119;12;3320;39;0;3320;0;0;1816;0;0;3320;0;
34m 9s 56;8;19136;153;36;19128;688;0;4824;0;208;19128;3978;52;19128;994;184;4824;887;14;19136;267;24;4992;119;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
34m 9s 170;8;19136;153;40;19128;765;0;4824;0;208;19128;3978;52;19128;994;184;4824;887;14;19144;268;24;4992;119;12;3320;39;0;3320;0;0;1816;0;0;3320;0;
34m 9s 284;8;19136;153;40;19128;765;0;4824;0;208;19128;3978;52;19128;994;184;4824;887;14;19144;268;24;4992;119;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
34m 9s 398;8;19136;153;40;19128;765;0;4824;0;208;19128;3978;52;19128;994;184;4824;887;14;19144;268;24;4992;119;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
34m 9s 512;8;19136;153;40;19128;765;0;4824;0;206;19128;3940;52;19128;994;184;4824;887;14;19144;268;24;4992;119;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
34m 9s 626;8;19136;153;40;19128;765;0;4824;0;206;19128;3940;52;19128;994;184;4824;887;14;19144;268;24;4992;119;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
34m 9s 740;8;19136;153;40;19128;765;0;4824;0;206;19128;3940;52;19128;994;184;4824;887;14;19136;268;24;4992;119;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
