TIME;VDD_SYS_GPU_CURRENT;VDD_SYS_GPU_VOLTAGE;VDD_SYS_GPU_POWER;VDD_SYS_SOC_CURRENT;VDD_SYS_SOC_VOLTAGE;VDD_SYS_SOC_POWER;VDD_4VO_WIFI_CURRENT;VDD_4VO_WIFI_VOLTAGE;VDD_4VO_WIFI_POWER;VDD_IN_CURRENT;VDD_IN_VOLTAGE;VDD_IN_POWER;VDD_SYS_CPU_CURRENT;VDD_SYS_CPU_VOLTAGE;VDD_SYS_CPU_POWER;VDD_SYS_DDR_CURRENT;VDD_SYS_DDR_VOLTAGE;VDD_SYS_DDR_POWER;VDD_MUX_CURRENT;VDD_MUX_VOLTAGE;VDD_MUX_POWER;VDD_5VO_IO_SYS_CURRENT;VDD_5VO_IO_SYS_VOLTAGE;VDD_5VO_IO_SYS_POWER;VDD_3V3_SYS_CURRENT;VDD_3V3_SYS_VOLTAGE;VDD_3V3_SYS_POWER;VDD_3V3_IO_SLP_CURRENT;VDD_3V3_IO_SLP_VOLTAGE;VDD_3V3_IO_SLP_POWER;VDD_1V8_IO_CURRENT;VDD_1V8_IO_VOLTAGE;VDD_1V8_IO_POWER;VDD_3V3_SYSi_M2_CURRENT;VDD_3V3_SYSi_M2_VOLTAGE;VDD_3V3_SYSi_M2_POWER;
36m 37s 364;8;19152;153;20;19144;382;0;4824;0;108;19136;2066;12;19136;229;48;4824;231;14;19152;268;24;4992;119;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
36m 37s 477;8;19144;153;24;19144;459;0;4824;0;114;19136;2181;16;19136;306;56;4824;270;14;19152;268;24;4992;119;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
36m 37s 591;8;19144;153;24;19144;459;0;4824;0;116;19136;2219;16;19136;306;60;4824;289;14;19152;268;16;4992;79;12;3320;39;0;3320;0;0;1816;0;0;3320;0;
36m 37s 706;8;19144;153;24;19144;459;0;4824;0;118;19136;2258;16;19136;306;68;4824;328;14;19144;268;16;4992;79;12;3320;39;0;3320;0;0;1816;0;0;3320;0;
36m 37s 821;8;19144;153;24;19144;459;0;4824;0;120;19136;2296;16;19136;306;68;4824;328;14;19144;268;24;4992;119;12;3320;39;0;3320;0;0;1816;0;0;3320;0;
36m 37s 936;8;19144;153;24;19144;459;0;4824;0;120;19136;2296;16;19136;306;72;4824;347;14;19144;268;24;4992;119;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
36m 38s 50;8;19144;153;24;19144;459;0;4824;0;122;19136;2334;16;19136;306;72;4824;347;14;19144;268;24;4992;119;12;3320;39;0;3320;0;0;1816;0;0;3320;0;
36m 38s 164;8;19144;153;24;19144;459;0;4824;0;122;19136;2334;16;19136;306;72;4824;347;14;19152;268;24;4992;119;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
36m 38s 279;8;19144;153;24;19144;459;0;4824;0;122;19136;2334;16;19136;306;72;4824;347;14;19144;268;24;4992;119;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
36m 38s 393;8;19144;153;24;19144;459;0;4824;0;122;19136;2334;16;19136;306;76;4824;366;14;19144;268;24;4992;119;12;3320;39;0;3320;0;0;1816;0;0;3320;0;
36m 38s 507;8;19144;153;24;19144;459;0;4824;0;124;19136;2372;16;19136;306;76;4824;366;14;19144;268;24;4992;119;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
36m 38s 618;8;19144;153;24;19136;459;0;4824;0;124;19136;2372;16;19136;306;76;4824;366;14;19144;268;24;4992;119;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
36m 38s 732;8;19144;153;24;19136;459;0;4824;0;124;19136;2372;16;19136;306;76;4824;366;12;19144;229;24;4992;119;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
36m 38s 845;8;19144;153;24;19136;459;0;4824;0;126;19136;2411;16;19136;306;76;4824;366;14;19144;268;24;4992;119;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
36m 38s 960;8;19144;153;24;19144;459;0;4824;0;126;19136;2411;16;19136;306;76;4824;366;14;19144;268;24;4992;119;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
36m 39s 73;8;19144;153;24;19144;459;0;4824;0;126;19136;2411;20;19136;382;76;4824;366;14;19144;268;24;4992;119;12;3320;39;0;3320;0;0;1816;0;0;3320;0;
36m 39s 188;8;19144;153;24;19144;459;0;4824;0;126;19136;2411;16;19136;306;76;4824;366;14;19144;268;24;4992;119;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
36m 39s 304;8;19144;153;24;19144;459;0;4824;0;126;19136;2411;16;19136;306;76;4824;366;14;19144;268;24;4992;119;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
36m 39s 418;8;19144;153;24;19136;459;0;4824;0;126;19136;2411;20;19136;382;76;4824;366;14;19144;268;24;4992;119;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
36m 39s 532;8;19144;153;24;19144;459;0;4824;0;126;19136;2411;20;19136;382;76;4824;366;14;19144;268;24;4992;119;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
36m 39s 647;8;19144;153;24;19136;459;0;4824;0;126;19136;2411;20;19136;382;76;4824;366;14;19144;268;24;4992;119;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
36m 39s 763;8;19144;153;24;19136;459;0;4824;0;126;19136;2411;20;19136;382;76;4824;366;14;19144;268;24;4992;119;12;3320;39;0;3320;0;0;1816;0;0;3320;0;
36m 39s 878;8;19144;153;24;19136;459;0;4824;0;126;19136;2411;16;19136;306;76;4824;366;14;19144;268;24;4992;119;12;3320;39;0;3320;0;0;1816;0;0;3320;0;
36m 39s 994;8;19144;153;24;19136;459;0;4824;0;126;19136;2411;20;19136;382;76;4824;366;14;19144;268;24;4992;119;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
36m 40s 110;8;19144;153;24;19136;459;0;4824;0;126;19136;2411;16;19136;306;76;4824;366;12;19144;229;24;4992;119;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
36m 40s 225;8;19144;153;24;19136;459;0;4824;0;126;19136;2411;20;19136;382;76;4824;366;14;19144;268;24;4992;119;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
36m 40s 341;8;19144;153;24;19144;459;0;4824;0;126;19136;2411;20;19136;382;76;4824;366;14;19144;229;24;4992;119;12;3320;39;0;3320;0;0;1816;0;0;3320;0;
36m 40s 456;8;19144;153;24;19144;459;0;4824;0;126;19136;2411;16;19136;306;76;4824;366;12;19144;268;24;4992;119;12;3320;39;0;3320;0;0;1816;0;0;3320;0;
36m 40s 571;8;19144;153;24;19144;459;0;4824;0;126;19136;2411;16;19136;306;76;4824;366;14;19144;268;24;4992;119;12;3320;39;0;3320;0;0;1816;0;0;3320;0;
36m 40s 686;8;19144;153;24;19144;459;0;4824;0;126;19136;2411;16;19136;306;76;4824;366;14;19144;268;24;4992;119;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
36m 40s 801;8;19144;153;24;19144;459;0;4824;0;126;19136;2411;16;19136;306;76;4824;366;14;19144;268;24;4992;119;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
36m 40s 916;8;19144;153;24;19136;459;0;4824;0;126;19136;2411;20;19136;382;76;4824;366;14;19144;268;24;4992;119;12;3320;39;0;3320;0;0;1816;0;0;3320;0;
36m 41s 31;8;19144;153;24;19144;459;0;4824;0;126;19136;2411;16;19136;306;76;4824;366;14;19144;268;24;4992;119;12;3320;39;0;3320;0;0;1816;0;0;3320;0;
36m 41s 144;8;19144;153;24;19136;459;0;4824;0;126;19136;2411;20;19136;382;76;4824;366;14;19144;268;24;4992;119;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
36m 41s 260;8;19144;153;24;19136;459;0;4824;0;126;19136;2411;20;19136;382;76;4824;366;14;19144;268;24;4992;119;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
36m 41s 371;8;19144;153;24;19136;459;0;4824;0;128;19136;2449;20;19136;382;76;4824;366;14;19144;268;24;4992;119;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
36m 41s 481;8;19144;153;24;19136;459;0;4824;0;134;19136;2564;20;19136;382;88;4824;424;14;19144;268;24;4992;119;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
36m 41s 595;8;19144;153;28;19136;535;0;4824;0;146;19136;2793;24;19136;459;104;4824;501;12;19144;229;24;4992;119;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
36m 41s 710;8;19144;153;28;19136;535;0;4824;0;162;19128;3098;32;19128;612;128;4824;617;12;19144;229;24;4992;119;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
36m 41s 819;8;19144;153;32;19136;612;0;4824;0;162;19128;3098;32;19128;612;128;4824;617;12;19144;229;24;4992;119;12;3320;39;0;3320;0;0;1816;0;0;3320;0;
36m 41s 933;8;19144;153;32;19136;612;0;4824;0;168;19128;3213;36;19128;688;136;4824;656;12;19144;229;24;4992;119;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
36m 42s 48;8;19144;153;32;19136;612;0;4824;0;178;19128;3404;40;19128;765;144;4824;694;12;19144;229;24;4992;119;12;3320;39;0;3320;0;0;1816;0;0;3320;0;
36m 42s 162;8;19136;153;36;19136;688;0;4824;0;184;19128;3519;44;19128;841;152;4824;733;14;19144;268;24;4992;119;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
36m 42s 276;8;19136;153;36;19128;688;0;4824;0;190;19128;3634;44;19128;841;160;4824;771;14;19144;268;24;4992;119;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
36m 42s 390;8;19136;153;36;19128;688;0;4824;0;192;19128;3672;44;19128;841;168;4824;810;14;19144;268;24;4992;119;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
36m 42s 504;8;19136;153;36;19128;688;0;4824;0;196;19128;3749;44;19128;841;176;4824;849;14;19144;268;24;4992;119;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
36m 42s 617;8;19136;153;36;19128;688;0;4824;0;198;19128;3787;48;19128;918;176;4824;849;14;19144;268;24;4992;119;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
36m 42s 731;8;19136;153;36;19128;688;0;4824;0;200;19128;3825;48;19128;918;176;4824;849;14;19144;268;24;4992;119;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
36m 42s 845;8;19136;153;36;19128;688;0;4824;0;202;19128;3863;48;19128;918;184;4824;887;14;19144;268;24;4992;119;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
36m 42s 959;8;19136;153;36;19128;688;0;4824;0;204;19128;3902;52;19128;994;184;4824;887;14;19144;268;24;4992;119;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
36m 43s 73;8;19136;153;36;19128;688;0;4824;0;204;19128;3902;48;19128;918;184;4824;887;14;19144;268;24;4992;119;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
36m 43s 187;8;19136;153;40;19128;765;0;4824;0;206;19128;3940;52;19128;994;184;4824;887;14;19136;267;24;4992;119;12;3320;39;0;3320;0;0;1816;0;0;3320;0;
36m 43s 301;8;19136;153;40;19128;765;0;4824;0;206;19128;3940;52;19128;994;184;4824;887;14;19144;268;24;4992;119;12;3320;39;0;3320;0;0;1816;0;0;3320;0;
36m 43s 415;8;19136;153;40;19128;765;0;4824;0;208;19128;3978;52;19128;994;180;4824;868;12;19144;229;24;4992;119;12;3320;39;0;3320;0;0;1816;0;0;3320;0;
36m 43s 529;8;19136;153;40;19128;765;0;4824;0;210;19128;4016;52;19128;994;184;4824;887;14;19136;267;24;4992;119;12;3320;39;0;3320;0;0;1816;0;0;3320;0;
36m 43s 643;8;19136;153;40;19128;765;0;4824;0;210;19128;4016;52;19128;994;188;4824;906;14;19144;268;24;4992;119;12;3320;39;0;3320;0;0;1816;0;0;3320;0;
36m 43s 756;8;19136;153;40;19128;765;0;4824;0;212;19128;4055;52;19128;994;188;4824;906;14;19136;267;24;4992;119;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
36m 43s 870;8;19136;153;40;19128;765;0;4824;0;212;19128;4055;56;19128;1071;184;4824;887;14;19136;267;24;4992;119;12;3320;39;0;3320;0;0;1816;0;0;3320;0;
36m 43s 984;8;19136;153;40;19128;765;0;4824;0;212;19128;4055;56;19128;1071;184;4824;887;14;19136;267;24;4992;119;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
36m 44s 98;8;19136;153;40;19128;765;4;4824;19;212;19128;4055;56;19128;1071;184;4816;886;14;19136;267;24;4992;119;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
36m 44s 212;8;19136;153;40;19128;765;0;4824;0;212;19128;4055;56;19128;1071;184;4824;887;14;19136;267;24;4992;119;12;3320;39;0;3320;0;0;1816;0;0;3320;0;
36m 44s 326;8;19136;153;40;19128;765;0;4824;0;212;19128;4055;56;19120;1070;184;4824;887;14;19136;267;24;4992;119;12;3320;39;0;3320;0;0;1816;0;0;3320;0;
36m 44s 440;8;19136;153;40;19128;765;0;4824;0;212;19128;4055;56;19128;1071;184;4816;886;14;19136;267;24;4992;119;12;3320;39;0;3320;0;0;1816;0;0;3320;0;
36m 44s 554;8;19136;153;36;19128;688;0;4824;0;212;19128;4055;56;19128;1071;184;4824;887;14;19144;268;24;4992;119;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
36m 44s 667;8;19136;153;36;19128;688;0;4824;0;210;19128;4016;56;19128;1071;180;4824;868;14;19136;267;24;4992;119;12;3320;39;0;3320;0;0;1816;0;0;3320;0;
36m 44s 781;8;19136;153;40;19128;765;0;4824;0;210;19128;4016;56;19128;1071;180;4824;868;14;19136;267;24;4992;119;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
36m 44s 895;8;19136;153;36;19128;688;0;4824;0;210;19128;4016;56;19128;1071;176;4816;849;14;19136;267;24;4992;119;12;3320;39;0;3320;0;0;1816;0;0;3320;0;
36m 45s 9;8;19136;153;36;19128;688;0;4824;0;212;19128;4055;60;19120;1147;176;4824;849;14;19136;267;24;4992;119;12;3320;39;0;3320;0;0;1816;0;0;3320;0;
36m 45s 123;8;19136;153;36;19128;688;0;4824;0;214;19128;4093;60;19120;1147;176;4824;847;14;19136;267;24;4992;119;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
36m 45s 237;8;19136;153;36;19128;688;0;4824;0;212;19128;4055;60;19128;1147;176;4824;849;14;19136;267;24;4992;119;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
36m 45s 350;8;19136;153;36;19128;688;0;4824;0;210;19128;4016;56;19128;1071;176;4816;847;14;19136;267;24;4992;119;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
36m 45s 464;8;19136;153;36;19128;688;0;4824;0;210;19128;4016;56;19128;1071;176;4816;847;14;19144;268;24;4992;119;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
36m 45s 578;8;19136;153;40;19128;765;0;4824;0;210;19128;4016;56;19128;1071;180;4816;866;14;19144;268;24;4992;119;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
36m 45s 692;8;19136;153;40;19128;765;0;4824;0;210;19128;4016;56;19128;1071;184;4824;887;14;19136;267;24;4992;119;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
36m 45s 806;8;19136;153;40;19128;765;0;4824;0;212;19128;4055;56;19128;1071;180;4824;868;14;19136;267;24;4992;119;12;3320;39;0;3320;0;0;1816;0;0;3320;0;
36m 45s 920;8;19136;153;40;19128;765;0;4824;0;212;19128;4055;56;19120;1071;180;4824;868;14;19136;267;24;4992;119;12;3320;39;0;3320;0;0;1816;0;0;3320;0;
36m 46s 34;8;19136;153;40;19128;765;0;4824;0;210;19128;4016;56;19128;1071;180;4824;868;14;19136;267;24;4992;119;12;3320;39;0;3320;0;0;1816;0;0;3320;0;
36m 46s 148;8;19136;153;40;19128;765;0;4824;0;208;19128;3978;56;19128;1071;180;4824;868;14;19144;268;24;4992;119;12;3320;39;0;3320;0;0;1816;0;0;3320;0;
36m 46s 262;8;19136;153;36;19128;688;0;4824;0;206;19128;3940;52;19128;994;180;4824;868;14;19144;268;24;4992;119;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
36m 46s 375;8;19136;153;36;19128;688;4;4824;19;206;19128;3940;52;19128;994;176;4816;847;14;19144;268;24;4992;119;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
36m 46s 489;8;19136;153;36;19128;688;0;4824;0;204;19128;3902;52;19128;994;176;4824;849;14;19144;268;24;4992;119;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
36m 46s 603;8;19136;153;36;19128;688;0;4824;0;204;19128;3902;52;19128;994;176;4824;849;14;19144;268;24;4992;119;12;3320;39;0;3320;0;0;1816;0;0;3320;0;
36m 46s 717;8;19136;153;40;19128;765;0;4824;0;204;19128;3902;48;19128;918;176;4824;849;14;19144;268;24;4992;119;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
36m 46s 831;8;19136;153;40;19128;765;0;4824;0;204;19128;3902;52;19128;994;176;4824;849;14;19144;268;24;4992;119;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
36m 46s 945;8;19136;153;36;19128;688;0;4824;0;204;19128;3902;48;19128;918;176;4824;849;14;19144;268;24;4992;119;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
36m 47s 59;8;19136;153;36;19128;688;0;4824;0;202;19128;3863;48;19128;918;176;4824;849;14;19144;268;24;4992;119;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
36m 47s 173;8;19136;153;40;19128;765;0;4824;0;204;19128;3902;52;19128;994;176;4824;849;14;19144;268;24;4992;119;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
36m 47s 286;8;19136;153;36;19128;688;0;4824;0;206;19128;3940;52;19128;994;176;4824;849;14;19144;268;24;4992;119;12;3320;39;0;3320;0;0;1816;0;0;3320;0;
36m 47s 400;8;19136;153;36;19128;688;0;4824;0;206;19128;3940;52;19128;994;176;4824;849;14;19136;267;24;4992;119;12;3320;39;0;3320;0;0;1816;0;0;3320;0;
36m 47s 514;8;19136;153;36;19128;688;0;4824;0;204;19128;3902;52;19128;994;176;4824;849;14;19144;268;24;4992;119;12;3320;39;0;3320;0;0;1816;0;0;3320;0;
36m 47s 628;8;19136;153;36;19128;688;0;4824;0;204;19128;3902;52;19128;994;176;4824;849;14;19144;268;24;4992;119;12;3320;39;0;3320;0;0;1816;0;0;3320;0;
36m 47s 742;8;19136;153;36;19128;688;0;4824;0;206;19128;3940;52;19128;994;176;4816;847;14;19144;268;24;4992;119;12;3320;39;0;3320;0;0;1816;0;0;3320;0;
36m 47s 856;8;19136;153;40;19128;765;0;4824;0;208;19128;3978;52;19128;994;176;4824;849;14;19144;268;24;4992;119;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
36m 47s 970;8;19136;153;36;19128;688;0;4824;0;206;19128;3940;52;19128;994;176;4824;849;14;19144;268;24;4992;119;12;3320;39;0;3320;0;0;1816;0;0;3320;0;
36m 48s 84;8;19136;153;40;19128;765;0;4824;0;206;19128;3940;52;19128;994;176;4824;849;14;19144;268;24;4992;119;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
36m 48s 198;8;19136;153;36;19128;688;0;4824;0;204;19128;3902;52;19128;994;176;4824;849;14;19144;268;24;4992;119;12;3320;39;0;3320;0;0;1816;0;0;3320;0;
36m 48s 311;8;19136;153;36;19128;688;0;4824;0;202;19128;3863;48;19128;918;176;4824;849;14;19144;268;24;4992;119;12;3320;39;0;3320;0;0;1816;0;0;3320;0;
36m 48s 425;8;19136;153;36;19128;688;0;4824;0;202;19128;3863;48;19128;918;176;4824;849;14;19144;268;24;4992;119;12;3320;39;0;3320;0;0;1816;0;0;3320;0;
36m 48s 539;8;19136;153;40;19128;765;0;4824;0;202;19128;3863;48;19128;918;176;4824;849;14;19144;268;24;4992;119;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
36m 48s 653;8;19136;153;36;19128;688;0;4824;0;202;19128;3863;48;19128;918;176;4824;849;14;19144;268;24;4992;119;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
