TIME;VDD_SYS_GPU_CURRENT;VDD_SYS_GPU_VOLTAGE;VDD_SYS_GPU_POWER;VDD_SYS_SOC_CURRENT;VDD_SYS_SOC_VOLTAGE;VDD_SYS_SOC_POWER;VDD_4VO_WIFI_CURRENT;VDD_4VO_WIFI_VOLTAGE;VDD_4VO_WIFI_POWER;VDD_IN_CURRENT;VDD_IN_VOLTAGE;VDD_IN_POWER;VDD_SYS_CPU_CURRENT;VDD_SYS_CPU_VOLTAGE;VDD_SYS_CPU_POWER;VDD_SYS_DDR_CURRENT;VDD_SYS_DDR_VOLTAGE;VDD_SYS_DDR_POWER;VDD_MUX_CURRENT;VDD_MUX_VOLTAGE;VDD_MUX_POWER;VDD_5VO_IO_SYS_CURRENT;VDD_5VO_IO_SYS_VOLTAGE;VDD_5VO_IO_SYS_POWER;VDD_3V3_SYS_CURRENT;VDD_3V3_SYS_VOLTAGE;VDD_3V3_SYS_POWER;VDD_3V3_IO_SLP_CURRENT;VDD_3V3_IO_SLP_VOLTAGE;VDD_3V3_IO_SLP_POWER;VDD_1V8_IO_CURRENT;VDD_1V8_IO_VOLTAGE;VDD_1V8_IO_POWER;VDD_3V3_SYSi_M2_CURRENT;VDD_3V3_SYSi_M2_VOLTAGE;VDD_3V3_SYSi_M2_POWER;
47m 35s 890;8;19144;153;28;19136;535;0;4824;0;130;19136;2487;12;19136;229;92;4824;443;14;19144;268;24;4992;119;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
47m 36s 3;8;19144;153;28;19136;535;0;4824;0;132;19136;2525;16;19136;306;96;4824;463;14;19144;268;24;4992;119;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
47m 36s 117;8;19144;153;28;19136;535;0;4824;0;134;19136;2564;16;19136;306;96;4824;463;14;19144;268;24;4992;119;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
47m 36s 230;8;19144;153;28;19136;535;0;4824;0;136;19136;2602;16;19136;306;96;4824;463;14;19144;268;24;4992;119;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
47m 36s 345;8;19144;153;28;19136;535;0;4824;0;136;19136;2602;16;19136;306;96;4824;463;14;19144;268;24;4992;119;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
47m 36s 459;8;19144;153;28;19136;535;0;4824;0;136;19136;2602;16;19136;306;96;4824;463;14;19144;268;24;4992;119;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
47m 36s 572;8;19144;153;28;19136;535;0;4824;0;138;19136;2640;16;19136;306;96;4824;463;14;19144;268;24;4992;119;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
47m 36s 686;8;19144;153;28;19136;535;0;4824;0;138;19136;2640;16;19136;306;96;4824;463;14;19144;268;24;4992;119;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
47m 36s 798;8;19144;153;28;19136;535;0;4824;0;138;19136;2640;16;19136;382;96;4824;463;14;19144;268;24;4992;119;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
47m 36s 912;8;19144;153;28;19136;535;0;4824;0;138;19136;2640;20;19136;382;96;4824;463;14;19144;268;24;4992;119;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
47m 37s 25;8;19144;153;28;19136;535;0;4824;0;140;19136;2679;20;19136;382;96;4824;463;14;19144;268;24;4992;119;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
47m 37s 139;8;19144;153;28;19136;535;0;4824;0;140;19136;2679;20;19136;382;96;4824;463;14;19144;268;24;4992;119;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
47m 37s 252;8;19144;153;28;19136;535;0;4824;0;140;19136;2679;20;19136;382;96;4824;463;14;19144;268;24;4992;119;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
47m 37s 366;8;19144;153;32;19136;612;0;4824;0;140;19136;2679;20;19136;382;96;4824;463;14;19144;268;24;4992;119;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
47m 37s 480;8;19144;153;28;19136;535;0;4824;0;140;19136;2679;20;19136;382;96;4824;463;14;19144;268;24;4992;119;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
47m 37s 593;8;19144;153;28;19136;535;0;4824;0;142;19136;2717;20;19136;382;96;4824;463;12;19144;229;24;4992;119;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
47m 37s 706;8;19144;153;28;19136;535;0;4824;0;142;19136;2717;20;19136;382;96;4824;463;14;19144;268;24;4992;119;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
47m 37s 819;8;19144;153;28;19136;535;0;4824;0;142;19136;2717;20;19136;382;96;4824;463;14;19144;268;24;4992;119;12;3320;39;0;3320;0;0;1816;0;0;3320;0;
47m 37s 933;8;19144;153;32;19136;612;0;4824;0;140;19136;2679;20;19136;382;96;4824;463;14;19144;268;24;4992;119;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
47m 38s 47;8;19144;153;32;19136;612;0;4824;0;140;19136;2679;20;19136;382;96;4824;463;14;19144;268;24;4992;119;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
47m 38s 161;8;19144;153;32;19136;612;0;4824;0;140;19136;2679;20;19136;382;96;4824;463;14;19144;268;24;4992;119;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
47m 38s 274;8;19144;153;28;19136;535;0;4824;0;140;19136;2679;20;19136;382;96;4824;463;14;19144;268;24;4992;119;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
47m 38s 386;8;19144;153;28;19136;535;0;4824;0;140;19136;2679;20;19136;382;96;4824;463;14;19144;268;24;4992;119;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
47m 38s 499;8;19144;153;28;19136;535;0;4824;0;140;19136;2679;20;19136;382;96;4824;463;14;19144;268;24;4992;119;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
47m 38s 612;8;19144;153;32;19136;612;0;4824;0;140;19136;2679;20;19136;382;96;4824;463;14;19144;268;24;4992;119;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
47m 38s 725;8;19144;153;32;19136;612;0;4824;0;140;19136;2679;20;19136;382;96;4824;463;14;19144;268;24;4992;119;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
47m 38s 839;8;19144;153;32;19136;612;0;4824;0;142;19136;2717;20;19136;382;96;4824;463;14;19144;268;24;4992;119;12;3320;39;0;3320;0;0;1816;0;0;3320;0;
47m 38s 951;8;19144;153;32;19136;612;0;4824;0;142;19136;2717;20;19136;382;100;4824;482;14;19144;268;24;4992;119;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
47m 39s 60;8;19144;153;32;19136;612;0;4824;0;144;19136;2755;20;19136;382;100;4824;482;14;19144;268;24;4992;119;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
47m 39s 170;8;19144;153;32;19136;612;0;4824;0;152;19136;2908;24;19136;459;116;4824;559;14;19144;268;24;4992;119;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
47m 39s 284;8;19144;153;32;19136;612;0;4824;0;158;19136;3023;28;19128;535;120;4824;598;14;19144;268;24;4992;119;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
47m 39s 399;8;19144;153;32;19136;612;0;4824;0;170;19128;3251;32;19128;612;136;4824;656;14;19144;268;24;4992;119;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
47m 39s 513;8;19144;153;36;19136;688;0;4824;0;178;19128;3404;40;19128;765;144;4824;694;14;19144;268;24;4992;119;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
47m 39s 627;8;19136;153;36;19136;688;0;4824;0;184;19128;3519;44;19128;841;152;4824;733;14;19144;268;24;4992;119;12;3320;39;0;3320;0;0;1816;0;0;3320;0;
47m 39s 741;8;19136;153;36;19128;688;0;4824;0;190;19128;3634;44;19128;841;156;4824;752;14;19144;268;24;4992;119;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
47m 39s 855;8;19136;153;36;19128;688;0;4824;0;194;19128;3710;48;19128;918;160;4824;771;14;19144;268;24;4992;119;12;3320;39;0;3320;0;0;1816;0;0;3320;0;
47m 39s 969;8;19136;153;36;19128;688;0;4824;0;196;19128;3749;48;19128;918;164;4824;791;14;19144;268;24;4992;119;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
47m 40s 83;8;19136;153;36;19128;688;0;4824;0;198;19128;3787;52;19128;994;164;4824;791;14;19144;268;24;4992;119;12;3320;39;0;3320;0;0;1816;0;0;3320;0;
47m 40s 197;8;19136;153;36;19128;688;0;4824;0;200;19128;3825;52;19128;994;168;4824;810;14;19144;268;24;4992;119;12;3320;39;0;3320;0;0;1816;0;0;3320;0;
47m 40s 310;8;19136;153;36;19128;688;0;4824;0;202;19128;3863;52;19128;994;168;4824;810;14;19144;268;24;4992;119;12;3320;39;0;3320;0;0;1816;0;0;3320;0;
47m 40s 424;8;19136;153;36;19128;688;0;4824;0;204;19128;3902;52;19128;994;168;4824;810;14;19144;268;24;4992;119;12;3320;39;0;3320;0;0;1816;0;0;3320;0;
47m 40s 538;8;19136;153;36;19128;688;0;4824;0;204;19128;3902;56;19128;1071;172;4824;829;14;19144;268;24;4992;119;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
47m 40s 652;8;19136;153;36;19128;688;0;4824;0;206;19128;3940;56;19128;1071;172;4824;829;14;19144;268;24;4992;119;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
47m 40s 766;8;19136;153;36;19128;688;0;4824;0;206;19128;3940;56;19128;1071;172;4824;829;14;19144;268;24;4992;119;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
47m 40s 880;8;19136;153;36;19128;688;0;4824;0;208;19128;3978;56;19128;1071;172;4824;829;14;19144;268;24;4992;119;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
47m 40s 994;8;19136;153;36;19128;688;0;4824;0;208;19128;3978;56;19128;1071;172;4824;829;14;19144;268;24;4992;119;12;3320;39;0;3320;0;0;1816;0;0;3320;0;
47m 41s 109;8;19136;153;36;19128;688;0;4824;0;208;19128;3978;56;19128;1071;172;4824;829;14;19136;267;24;4992;119;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
47m 41s 222;8;19136;153;36;19128;688;0;4824;0;208;19128;3978;56;19128;1071;172;4824;829;14;19144;268;24;4992;119;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
