TIME;VDD_SYS_GPU_CURRENT;VDD_SYS_GPU_VOLTAGE;VDD_SYS_GPU_POWER;VDD_SYS_SOC_CURRENT;VDD_SYS_SOC_VOLTAGE;VDD_SYS_SOC_POWER;VDD_4VO_WIFI_CURRENT;VDD_4VO_WIFI_VOLTAGE;VDD_4VO_WIFI_POWER;VDD_IN_CURRENT;VDD_IN_VOLTAGE;VDD_IN_POWER;VDD_SYS_CPU_CURRENT;VDD_SYS_CPU_VOLTAGE;VDD_SYS_CPU_POWER;VDD_SYS_DDR_CURRENT;VDD_SYS_DDR_VOLTAGE;VDD_SYS_DDR_POWER;VDD_MUX_CURRENT;VDD_MUX_VOLTAGE;VDD_MUX_POWER;VDD_5VO_IO_SYS_CURRENT;VDD_5VO_IO_SYS_VOLTAGE;VDD_5VO_IO_SYS_POWER;VDD_3V3_SYS_CURRENT;VDD_3V3_SYS_VOLTAGE;VDD_3V3_SYS_POWER;VDD_3V3_IO_SLP_CURRENT;VDD_3V3_IO_SLP_VOLTAGE;VDD_3V3_IO_SLP_POWER;VDD_1V8_IO_CURRENT;VDD_1V8_IO_VOLTAGE;VDD_1V8_IO_POWER;VDD_3V3_SYSi_M2_CURRENT;VDD_3V3_SYSi_M2_VOLTAGE;VDD_3V3_SYSi_M2_POWER;
56m 20s 127;8;19144;153;24;19136;459;76;4824;366;132;19136;2525;12;19136;229;56;4824;270;14;19144;268;24;4992;119;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
56m 20s 238;8;19144;153;24;19136;459;76;4824;366;144;19136;2755;16;19136;306;76;4824;366;14;19144;268;24;4992;119;12;3320;39;0;3320;0;0;1816;0;0;3320;0;
56m 20s 348;8;19144;153;24;19136;459;68;4824;328;156;19136;2985;24;19128;459;88;4824;424;14;19144;268;24;4992;119;12;3320;39;0;3320;0;0;1816;0;0;3320;0;
56m 20s 469;8;19144;153;28;19136;535;52;4824;250;180;19128;3443;40;19128;765;116;4824;559;14;19144;268;24;4992;119;12;3320;39;0;3320;0;0;1816;0;0;3320;0;
56m 20s 578;8;19136;153;32;19128;612;40;4824;192;198;19128;3787;52;19128;994;136;4824;656;12;19144;229;24;4992;119;12;3320;39;0;3320;0;0;1816;0;0;3320;0;
56m 20s 688;8;19136;153;32;19128;612;32;4824;154;192;19128;3672;48;19128;918;140;4824;675;14;19144;268;24;4992;119;12;3320;39;0;3320;0;0;1816;0;0;3320;0;
56m 20s 800;8;19136;153;32;19136;612;24;4824;115;180;19128;3443;40;19128;765;132;4824;636;14;19144;268;24;4992;119;12;3320;39;0;3320;0;0;1816;0;0;3320;0;
56m 20s 916;8;19144;153;28;19136;535;16;4824;77;164;19128;3136;36;19128;688;116;4824;559;14;19144;268;24;4992;119;12;3320;39;0;3320;0;0;1816;0;0;3320;0;
56m 21s 33;8;19144;153;28;19136;535;12;4824;57;152;19136;2908;28;19136;535;104;4824;501;14;19144;268;24;4992;119;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
56m 21s 147;8;19144;153;28;19136;535;12;4824;57;144;19136;2755;24;19136;459;96;4824;463;14;19144;268;16;4992;79;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
56m 21s 261;8;19144;153;24;19136;459;8;4824;38;138;19136;2640;24;19136;459;92;4824;443;14;19144;268;24;4992;119;12;3320;39;0;3320;0;0;1816;0;0;3320;0;
56m 21s 377;8;19144;153;24;19136;459;4;4824;19;134;19136;2564;20;19136;382;88;4824;424;14;19144;268;24;4992;119;12;3320;39;0;3320;0;0;1816;0;0;3320;0;
56m 21s 489;8;19144;153;24;19136;459;4;4824;19;130;19136;2487;20;19136;382;84;4824;405;14;19144;268;24;4992;79;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
56m 21s 604;8;19144;153;24;19136;459;4;4824;19;128;19136;2449;16;19136;306;80;4824;385;14;19144;268;24;4992;119;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
56m 21s 718;8;19144;153;24;19136;459;4;4824;19;128;19136;2449;16;19136;306;84;4824;405;14;19144;268;24;4992;119;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
56m 21s 827;8;19144;153;24;19136;459;0;4824;0;134;19136;2564;20;19136;382;92;4824;443;14;19144;268;24;4992;119;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
56m 21s 935;8;19144;153;28;19136;535;0;4824;0;150;19136;2870;28;19136;535;112;4824;540;14;19144;268;24;4992;119;12;3320;39;0;3320;0;0;1816;0;0;3320;0;
56m 22s 44;8;19144;153;32;19136;612;0;4824;0;162;19128;3098;36;19128;688;124;4824;598;14;19144;268;24;4992;119;12;3320;39;0;3320;0;0;1816;0;0;3320;0;
56m 22s 153;8;19144;153;32;19136;612;0;4824;0;172;19128;3290;40;19128;765;136;4824;656;14;19144;268;24;4992;119;12;3320;39;0;3320;0;0;1816;0;0;3320;0;
56m 22s 261;8;19144;153;32;19136;612;0;4824;0;178;19128;3404;40;19128;765;144;4824;694;14;19144;268;24;4992;119;12;3320;39;0;3320;0;0;1816;0;0;3320;0;
56m 22s 370;8;19136;153;36;19128;688;0;4824;0;184;19128;3519;44;19128;841;148;4824;713;14;19144;268;24;4992;119;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
56m 22s 479;8;19136;153;36;19128;688;0;4824;0;188;19128;3596;44;19128;841;156;4824;752;14;19144;268;24;4992;119;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
56m 22s 587;8;19136;153;36;19128;688;0;4824;0;190;19128;3634;48;19128;918;160;4824;771;14;19144;268;24;4992;119;12;3320;39;0;3320;0;0;1816;0;0;3320;0;
56m 22s 696;8;19136;153;36;19128;688;0;4824;0;194;19128;3710;48;19128;918;160;4824;771;14;19144;268;24;4992;119;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
56m 22s 805;8;19136;153;36;19128;688;0;4824;0;194;19128;3710;48;19128;918;164;4824;791;14;19144;268;24;4992;119;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
56m 22s 913;8;19136;153;36;19128;688;0;4824;0;196;19128;3749;48;19128;918;164;4824;791;14;19144;268;24;4992;119;12;3320;39;0;3320;0;0;1816;0;0;3320;0;
56m 23s 22;8;19136;153;36;19128;688;0;4824;0;198;19128;3787;52;19128;994;168;4824;810;12;19144;229;24;4992;119;12;3320;39;0;3320;0;0;1816;0;0;3320;0;
56m 23s 131;8;19136;153;36;19128;688;0;4824;0;200;19128;3825;52;19128;994;168;4824;810;12;19144;229;24;4992;119;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
56m 23s 239;8;19136;153;36;19128;688;0;4824;0;200;19128;3825;52;19128;994;168;4824;810;14;19144;268;24;4992;119;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
56m 23s 348;8;19136;153;36;19128;688;0;4824;0;202;19128;3863;52;19128;994;168;4824;810;14;19144;268;24;4992;119;12;3320;39;0;3320;0;0;1816;0;0;3320;0;
56m 23s 457;8;19136;153;36;19128;688;0;4824;0;202;19128;3863;52;19128;994;168;4824;810;14;19144;268;24;4992;119;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
