TIME;VDD_SYS_GPU_CURRENT;VDD_SYS_GPU_VOLTAGE;VDD_SYS_GPU_POWER;VDD_SYS_SOC_CURRENT;VDD_SYS_SOC_VOLTAGE;VDD_SYS_SOC_POWER;VDD_4VO_WIFI_CURRENT;VDD_4VO_WIFI_VOLTAGE;VDD_4VO_WIFI_POWER;VDD_IN_CURRENT;VDD_IN_VOLTAGE;VDD_IN_POWER;VDD_SYS_CPU_CURRENT;VDD_SYS_CPU_VOLTAGE;VDD_SYS_CPU_POWER;VDD_SYS_DDR_CURRENT;VDD_SYS_DDR_VOLTAGE;VDD_SYS_DDR_POWER;VDD_MUX_CURRENT;VDD_MUX_VOLTAGE;VDD_MUX_POWER;VDD_5VO_IO_SYS_CURRENT;VDD_5VO_IO_SYS_VOLTAGE;VDD_5VO_IO_SYS_POWER;VDD_3V3_SYS_CURRENT;VDD_3V3_SYS_VOLTAGE;VDD_3V3_SYS_POWER;VDD_3V3_IO_SLP_CURRENT;VDD_3V3_IO_SLP_VOLTAGE;VDD_3V3_IO_SLP_POWER;VDD_1V8_IO_CURRENT;VDD_1V8_IO_VOLTAGE;VDD_1V8_IO_POWER;VDD_3V3_SYSi_M2_CURRENT;VDD_3V3_SYSi_M2_VOLTAGE;VDD_3V3_SYSi_M2_POWER;
58m 5s 467;8;19152;153;20;19144;382;0;4824;0;106;19136;2028;12;19136;229;48;4824;231;14;19152;268;24;4992;119;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
58m 5s 578;8;19144;153;24;19144;459;0;4824;0;120;19136;2296;16;19136;306;68;4824;328;14;19144;268;24;4992;119;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
58m 5s 690;8;19144;153;24;19144;459;0;4824;0;122;19136;2334;16;19136;306;72;4824;347;14;19144;268;24;4992;119;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
58m 5s 804;8;19144;153;24;19144;459;0;4824;0;122;19136;2334;16;19136;306;76;4824;366;14;19144;268;24;4992;119;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
58m 5s 919;8;19144;153;24;19144;459;0;4824;0;122;19136;2334;16;19136;306;76;4824;366;14;19144;268;24;4992;119;12;3320;39;0;3320;0;0;1816;0;0;3320;0;
58m 6s 34;8;19144;153;24;19144;459;0;4824;0;122;19136;2334;16;19136;306;76;4824;366;14;19144;268;24;4992;119;12;3320;39;0;3320;0;0;1816;0;0;3320;0;
58m 6s 147;8;19144;153;24;19144;459;4;4824;19;128;19136;2449;16;19136;306;76;4824;366;14;19144;268;24;4992;119;12;3320;39;0;3320;0;0;1816;0;0;3320;0;
58m 6s 263;8;19144;153;24;19144;459;0;4824;0;128;19136;2449;16;19136;306;76;4824;366;14;19144;268;24;4992;119;12;3320;39;0;3320;0;0;1816;0;0;3320;0;
58m 6s 379;8;19144;153;24;19144;459;0;4824;0;126;19136;2411;16;19136;306;76;4824;366;14;19144;268;24;4992;119;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
58m 6s 495;8;19144;153;24;19144;459;0;4824;0;124;19136;2372;16;19136;306;76;4824;366;14;19144;268;24;4992;119;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
58m 6s 610;8;19144;153;24;19144;459;0;4824;0;124;19136;2372;16;19136;306;76;4824;366;14;19144;268;24;4992;119;12;3320;39;0;3320;0;0;1816;0;0;3320;0;
58m 6s 725;8;19144;153;24;19144;459;0;4824;0;122;19136;2334;16;19136;306;76;4824;366;14;19144;268;24;4992;119;12;3320;39;0;3320;0;0;1816;0;0;3320;0;
58m 6s 842;8;19144;153;24;19144;459;0;4824;0;122;19136;2334;12;19136;229;76;4824;366;14;19144;268;24;4992;119;12;3320;39;0;3320;0;0;1816;0;0;3320;0;
58m 6s 957;8;19144;153;24;19144;459;0;4824;0;122;19136;2334;12;19136;229;76;4824;366;14;19144;268;24;4992;119;12;3320;39;0;3320;0;0;1816;0;0;3320;0;
58m 7s 72;8;19144;153;24;19144;459;0;4824;0;120;19136;2296;12;19136;229;72;4824;347;14;19144;268;24;4992;119;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
58m 7s 188;8;19144;153;24;19144;459;0;4824;0;120;19136;2296;12;19136;229;76;4824;366;14;19144;268;24;4992;119;12;3320;39;0;3320;0;0;1816;0;0;3320;0;
58m 7s 302;8;19144;153;24;19144;459;0;4824;0;120;19136;2296;12;19136;229;76;4824;366;14;19152;268;24;4992;119;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
58m 7s 418;8;19144;153;24;19144;459;0;4824;0;120;19136;2296;12;19136;229;76;4824;366;14;19144;268;24;4992;119;12;3320;39;0;3320;0;0;1816;0;0;3320;0;
58m 7s 535;8;19144;153;24;19144;459;0;4824;0;120;19136;2296;12;19136;229;72;4824;347;12;19144;268;24;4992;119;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
58m 7s 651;8;19144;153;24;19144;459;0;4824;0;120;19136;2296;12;19136;229;72;4824;347;12;19144;229;24;4992;119;12;3320;39;0;3320;0;0;1816;0;0;3320;0;
58m 7s 768;8;19144;153;24;19144;459;0;4824;0;120;19136;2296;12;19136;229;72;4824;347;14;19144;268;24;4992;119;12;3320;39;0;3320;0;0;1816;0;0;3320;0;
58m 7s 883;8;19144;153;24;19144;459;0;4824;0;120;19136;2296;12;19136;229;72;4824;347;12;19144;229;24;4992;119;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
58m 8s 0;8;19144;153;24;19144;459;0;4824;0;120;19136;2296;12;19136;229;72;4824;347;12;19144;229;24;4992;119;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
58m 8s 116;8;19144;153;24;19144;459;0;4824;0;118;19136;2258;12;19136;229;72;4824;347;12;19152;229;24;4992;119;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
58m 8s 231;8;19144;153;24;19144;459;0;4824;0;120;19136;2296;12;19136;229;72;4824;347;12;19144;229;24;4992;119;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
58m 8s 342;8;19144;153;24;19144;459;0;4824;0;120;19136;2296;12;19136;229;72;4824;347;12;19144;229;24;4992;119;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
58m 8s 454;8;19144;153;24;19136;459;0;4824;0;124;19136;2372;16;19136;306;80;4824;385;12;19144;229;24;4992;119;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
58m 8s 563;8;19144;153;24;19136;459;0;4824;0;138;19136;2640;20;19136;382;100;4824;482;12;19144;229;24;4992;119;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
58m 8s 672;8;19144;153;28;19136;535;4;4824;19;154;19136;2946;28;19136;535;124;4824;598;14;19144;268;24;4992;119;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
58m 8s 781;8;19144;153;32;19136;612;0;4824;0;166;19128;3175;32;19128;612;136;4824;656;14;19144;268;24;4992;119;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
58m 8s 890;8;19144;153;32;19136;612;0;4824;0;174;19128;3328;36;19128;688;148;4824;713;14;19144;268;24;4992;119;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
