TIME;VDD_SYS_GPU_CURRENT;VDD_SYS_GPU_VOLTAGE;VDD_SYS_GPU_POWER;VDD_SYS_SOC_CURRENT;VDD_SYS_SOC_VOLTAGE;VDD_SYS_SOC_POWER;VDD_4VO_WIFI_CURRENT;VDD_4VO_WIFI_VOLTAGE;VDD_4VO_WIFI_POWER;VDD_IN_CURRENT;VDD_IN_VOLTAGE;VDD_IN_POWER;VDD_SYS_CPU_CURRENT;VDD_SYS_CPU_VOLTAGE;VDD_SYS_CPU_POWER;VDD_SYS_DDR_CURRENT;VDD_SYS_DDR_VOLTAGE;VDD_SYS_DDR_POWER;VDD_MUX_CURRENT;VDD_MUX_VOLTAGE;VDD_MUX_POWER;VDD_5VO_IO_SYS_CURRENT;VDD_5VO_IO_SYS_VOLTAGE;VDD_5VO_IO_SYS_POWER;VDD_3V3_SYS_CURRENT;VDD_3V3_SYS_VOLTAGE;VDD_3V3_SYS_POWER;VDD_3V3_IO_SLP_CURRENT;VDD_3V3_IO_SLP_VOLTAGE;VDD_3V3_IO_SLP_POWER;VDD_1V8_IO_CURRENT;VDD_1V8_IO_VOLTAGE;VDD_1V8_IO_POWER;VDD_3V3_SYSi_M2_CURRENT;VDD_3V3_SYSi_M2_VOLTAGE;VDD_3V3_SYSi_M2_POWER;
7m 34s 335;8;19144;153;36;19136;688;0;4824;0;158;19128;3022;12;19128;229;168;4824;810;14;19144;268;24;4992;119;12;3320;39;0;3320;0;0;1816;0;0;3320;0;
7m 34s 445;8;19144;153;36;19136;688;0;4824;0;166;19128;3175;16;19128;306;172;4824;829;12;19144;229;24;4992;119;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
7m 34s 555;8;19144;153;36;19136;688;0;4824;0;168;19128;3213;16;19128;306;176;4824;849;14;19144;268;24;4992;119;12;3320;39;0;3320;0;0;1816;0;0;3320;0;
7m 34s 667;8;19144;153;36;19136;688;0;4824;0;168;19128;3213;16;19128;306;176;4824;849;14;19144;268;24;4992;119;12;3320;39;0;3320;0;0;1816;0;0;3320;0;
7m 34s 780;8;19144;153;36;19136;688;0;4824;0;166;19128;3175;16;19128;306;176;4824;849;14;19144;268;24;4992;119;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
7m 34s 892;8;19144;153;36;19136;688;0;4824;0;168;19128;3213;16;19128;306;176;4824;849;14;19144;268;24;4992;119;12;3320;39;0;3320;0;0;1816;0;0;3320;0;
7m 35s 4;8;19144;153;36;19136;688;0;4824;0;166;19128;3175;16;19128;306;176;4824;849;14;19144;268;24;4992;119;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
7m 35s 117;8;19144;153;36;19136;688;0;4824;0;166;19128;3175;16;19128;306;176;4824;849;14;19144;268;24;4992;119;12;3320;39;0;3320;0;0;1816;0;0;3320;0;
7m 35s 231;8;19144;153;36;19136;688;0;4824;0;166;19128;3175;16;19128;306;176;4824;849;14;19144;268;24;4992;119;12;3320;39;0;3320;0;0;1816;0;0;3320;0;
7m 35s 343;8;19144;153;36;19136;688;0;4824;0;166;19128;3175;16;19128;306;176;4824;849;12;19144;229;24;4992;119;12;3320;39;0;3320;0;0;1816;0;0;3320;0;
7m 35s 457;8;19144;153;36;19136;688;0;4824;0;168;19128;3213;16;19128;306;176;4824;849;14;19144;268;24;4992;119;12;3320;39;0;3320;0;0;1816;0;0;3320;0;
7m 35s 569;8;19144;153;36;19136;688;0;4824;0;168;19128;3213;16;19128;306;176;4824;849;14;19144;268;24;4992;119;12;3320;39;0;3320;0;0;1816;0;0;3320;0;
7m 35s 683;8;19144;153;36;19136;688;0;4824;0;168;19128;3213;16;19128;306;176;4816;847;14;19144;268;16;4992;79;12;3320;39;0;3320;0;0;1816;0;0;3320;0;
7m 35s 795;8;19144;153;36;19136;688;0;4824;0;168;19128;3213;16;19128;306;176;4824;849;14;19144;268;24;4992;119;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
7m 35s 905;8;19144;153;40;19136;765;0;4824;0;168;19128;3213;16;19128;306;176;4824;849;14;19144;268;24;4992;119;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
7m 36s 15;8;19144;153;40;19136;765;0;4824;0;170;19128;3251;16;19128;306;176;4824;849;14;19144;268;16;4992;79;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
7m 36s 124;8;19144;153;40;19136;765;0;4824;0;176;19128;3366;24;19128;459;180;4824;868;14;19144;268;24;4992;119;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
7m 36s 233;8;19144;153;40;19136;765;0;4824;0;182;19128;3481;28;19128;535;180;4824;868;14;19144;268;24;4992;119;12;3320;39;0;3320;0;0;1816;0;0;3320;0;
7m 36s 342;8;19136;153;36;19136;688;0;4824;0;188;19128;3596;36;19128;688;180;4824;868;14;19144;268;24;4992;119;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
7m 36s 451;8;19136;153;36;19128;688;0;4824;0;194;19128;3710;40;19128;765;176;4824;849;14;19144;268;24;4992;119;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
7m 36s 559;8;19136;153;36;19128;688;0;4824;0;198;19128;3787;48;19128;918;176;4824;849;14;19144;268;16;4992;79;12;3320;39;0;3320;0;0;1816;0;0;3320;0;
7m 36s 668;8;19136;153;36;19128;688;0;4824;0;200;19128;3825;48;19128;918;176;4824;849;14;19144;268;24;4992;119;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
7m 36s 777;8;19136;153;36;19128;688;0;4824;0;202;19128;3863;52;19128;994;176;4824;849;14;19144;268;24;4992;119;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
7m 36s 886;8;19136;153;36;19128;688;0;4824;0;204;19128;3902;52;19128;994;176;4824;849;14;19144;268;24;4992;119;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
7m 36s 995;8;19136;153;36;19128;688;0;4824;0;206;19128;3940;56;19128;1071;176;4824;849;14;19144;268;24;4992;119;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
7m 37s 103;8;19136;153;36;19128;688;0;4824;0;208;19128;3978;56;19128;1071;172;4824;829;14;19144;268;24;4992;119;12;3320;39;0;3320;0;0;1816;0;0;3320;0;
7m 37s 212;8;19136;153;36;19128;688;0;4824;0;208;19128;3978;56;19128;1071;172;4824;829;14;19144;268;24;4992;119;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
7m 37s 321;8;19136;153;36;19128;688;0;4824;0;210;19128;4016;56;19128;1071;172;4824;829;14;19144;268;24;4992;119;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
7m 37s 430;8;19136;153;36;19128;688;0;4824;0;210;19128;4016;60;19128;1147;172;4824;829;14;19144;268;24;4992;119;12;3320;39;0;3320;0;0;1816;0;0;3320;0;
7m 37s 538;8;19136;153;36;19128;688;0;4824;0;212;19128;4055;60;19128;1147;172;4824;829;14;19136;268;24;4992;119;12;3320;39;0;3320;0;0;1816;0;0;3320;0;
7m 37s 647;8;19136;153;36;19128;688;0;4824;0;212;19128;4055;60;19128;1147;172;4824;829;14;19144;268;24;4992;119;12;3320;39;0;3320;0;0;1816;0;0;3320;0;
7m 37s 756;8;19136;153;36;19128;688;0;4824;0;212;19128;4055;60;19128;1147;172;4824;829;14;19136;267;24;4992;119;12;3320;39;0;3320;0;0;1816;0;0;3320;0;
7m 37s 865;8;19136;153;36;19128;688;0;4824;0;212;19128;4055;60;19128;1147;172;4824;829;14;19136;267;24;4992;119;12;3320;39;0;3320;0;0;1816;0;0;3320;0;
7m 37s 973;8;19136;153;36;19128;688;0;4824;0;212;19128;4055;60;19128;1147;172;4824;829;14;19136;267;24;4992;119;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
7m 38s 82;8;19136;153;36;19128;688;0;4824;0;212;19128;4055;60;19128;1147;172;4824;829;14;19144;268;24;4992;119;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
7m 38s 191;8;19136;153;36;19128;688;0;4824;0;212;19128;4055;60;19128;1147;172;4824;829;14;19136;267;24;4992;119;12;3320;39;0;3320;0;0;1816;0;0;3320;0;
7m 38s 300;8;19136;153;36;19128;688;0;4824;0;212;19128;4093;60;19128;1147;172;4824;829;14;19144;268;24;4992;119;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
7m 38s 408;8;19136;153;36;19128;688;0;4824;0;214;19128;4093;60;19128;1147;172;4824;829;14;19144;268;24;4992;119;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
7m 38s 517;8;19136;153;36;19128;688;0;4824;0;214;19128;4093;60;19128;1147;172;4824;829;14;19144;268;24;4992;119;12;3320;39;0;3320;0;0;1816;0;0;3320;0;
7m 38s 626;8;19136;153;36;19128;688;0;4824;0;214;19128;4093;60;19128;1147;172;4824;829;14;19136;267;24;4992;119;12;3320;39;0;3320;0;0;1816;0;0;3320;0;
7m 38s 735;8;19136;153;36;19128;688;0;4824;0;214;19128;4093;60;19128;1147;172;4824;829;14;19144;268;24;4992;119;12;3320;39;0;3320;0;0;1816;0;0;3320;0;
7m 38s 843;8;19136;153;36;19128;688;0;4824;0;212;19128;4055;60;19128;1147;172;4824;829;14;19136;267;24;4992;119;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
7m 38s 952;8;19136;153;36;19128;688;0;4824;0;212;19128;4055;60;19128;1147;172;4824;829;14;19144;268;24;4992;119;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
7m 39s 61;8;19136;153;36;19128;688;0;4824;0;212;19128;4055;60;19128;1147;172;4824;829;14;19136;267;24;4992;119;12;3320;39;0;3320;0;0;1816;0;0;3320;0;
7m 39s 169;8;19136;153;36;19128;688;0;4824;0;212;19128;4055;60;19128;1147;172;4824;829;14;19136;267;24;4992;119;12;3320;39;0;3320;0;0;1816;0;0;3320;0;
7m 39s 278;8;19136;153;36;19128;688;0;4824;0;214;19128;4093;60;19128;1147;172;4824;829;14;19136;267;24;4992;119;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
7m 39s 387;8;19136;153;36;19128;688;0;4824;0;214;19128;4093;60;19120;1147;172;4824;829;14;19136;267;24;4992;119;12;3320;39;0;3320;0;0;1816;0;0;3320;0;
7m 39s 496;8;19136;153;36;19128;688;0;4824;0;214;19128;4093;60;19128;1147;172;4824;829;14;19144;268;24;4992;119;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
7m 39s 604;8;19136;153;36;19128;688;0;4824;0;214;19128;4093;60;19120;1147;172;4824;829;14;19136;267;24;4992;119;12;3320;39;0;3320;0;0;1816;0;0;3320;0;
7m 39s 713;8;19136;153;36;19128;688;0;4824;0;214;19128;4093;60;19128;1147;172;4824;829;14;19136;267;24;4992;119;12;3320;39;0;3320;0;0;1816;0;0;3320;0;
7m 39s 822;8;19136;153;36;19128;688;0;4824;0;214;19128;4093;60;19128;1147;172;4824;829;14;19136;267;24;4992;119;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
7m 39s 931;8;19136;153;36;19128;688;0;4824;0;214;19128;4093;60;19128;1147;172;4824;829;14;19136;267;24;4992;119;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
7m 40s 39;8;19136;153;36;19128;688;0;4824;0;214;19128;4093;60;19128;1147;172;4824;829;14;19144;268;24;4992;119;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
7m 40s 148;8;19136;153;36;19128;688;0;4824;0;214;19128;4093;60;19128;1147;172;4824;829;14;19144;268;24;4992;119;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
7m 40s 257;8;19136;153;36;19128;688;0;4824;0;214;19128;4093;60;19128;1147;172;4824;829;14;19136;267;24;4992;119;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
7m 40s 365;8;19136;153;36;19128;688;0;4824;0;214;19128;4093;60;19120;1147;172;4824;829;14;19136;267;24;4992;119;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
7m 40s 474;8;19136;153;36;19128;688;0;4824;0;214;19128;4093;60;19128;1147;172;4824;829;14;19144;268;24;4992;119;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
7m 40s 583;8;19136;153;36;19128;688;0;4824;0;214;19128;4093;60;19120;1147;172;4824;829;14;19136;267;24;4992;119;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
7m 40s 692;8;19136;153;36;19128;688;0;4824;0;214;19128;4093;60;19120;1147;172;4824;829;14;19136;267;24;4992;119;12;3320;39;0;3320;0;0;1816;0;0;3320;0;
7m 40s 800;8;19136;153;36;19128;688;0;4824;0;214;19128;4093;60;19128;1147;172;4824;829;14;19136;267;24;4992;119;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
7m 40s 909;8;19136;153;36;19128;688;0;4824;0;214;19128;4093;60;19120;1147;172;4824;829;14;19144;268;24;4992;119;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
7m 41s 18;8;19136;153;36;19128;688;0;4824;0;214;19128;4093;60;19128;1147;172;4824;829;14;19144;268;24;4992;119;12;3320;39;0;3320;0;0;1816;0;0;3320;0;
7m 41s 127;8;19136;153;36;19128;688;0;4824;0;214;19128;4093;60;19128;1147;172;4824;829;14;19136;267;24;4992;119;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
7m 41s 235;8;19136;153;36;19128;688;0;4824;0;214;19128;4093;60;19128;1147;172;4824;829;12;19136;229;24;4992;119;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
