TIME;VDD_SYS_GPU_CURRENT;VDD_SYS_GPU_VOLTAGE;VDD_SYS_GPU_POWER;VDD_SYS_SOC_CURRENT;VDD_SYS_SOC_VOLTAGE;VDD_SYS_SOC_POWER;VDD_4VO_WIFI_CURRENT;VDD_4VO_WIFI_VOLTAGE;VDD_4VO_WIFI_POWER;VDD_IN_CURRENT;VDD_IN_VOLTAGE;VDD_IN_POWER;VDD_SYS_CPU_CURRENT;VDD_SYS_CPU_VOLTAGE;VDD_SYS_CPU_POWER;VDD_SYS_DDR_CURRENT;VDD_SYS_DDR_VOLTAGE;VDD_SYS_DDR_POWER;VDD_MUX_CURRENT;VDD_MUX_VOLTAGE;VDD_MUX_POWER;VDD_5VO_IO_SYS_CURRENT;VDD_5VO_IO_SYS_VOLTAGE;VDD_5VO_IO_SYS_POWER;VDD_3V3_SYS_CURRENT;VDD_3V3_SYS_VOLTAGE;VDD_3V3_SYS_POWER;VDD_3V3_IO_SLP_CURRENT;VDD_3V3_IO_SLP_VOLTAGE;VDD_3V3_IO_SLP_POWER;VDD_1V8_IO_CURRENT;VDD_1V8_IO_VOLTAGE;VDD_1V8_IO_POWER;VDD_3V3_SYSi_M2_CURRENT;VDD_3V3_SYSi_M2_VOLTAGE;VDD_3V3_SYSi_M2_POWER;
15m 36s 443;8;19144;153;36;19136;688;0;4824;0;160;19128;3060;12;19128;229;168;4824;810;14;19144;268;24;4992;119;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
15m 36s 557;8;19144;153;36;19136;688;0;4824;0;166;19128;3175;16;19128;306;172;4824;829;14;19144;268;24;4992;119;12;3320;39;0;3320;0;0;1816;0;0;3320;0;
15m 36s 671;8;19144;153;40;19136;765;0;4824;0;168;19128;3213;20;19128;382;172;4824;829;14;19144;268;24;4992;119;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
15m 36s 786;8;19144;153;40;19136;765;0;4824;0;168;19128;3213;20;19128;382;172;4824;829;14;19144;268;24;4992;119;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
15m 36s 900;8;19144;153;40;19136;765;0;4824;0;170;19128;3251;20;19128;382;176;4824;849;14;19144;268;24;4992;119;12;3320;39;0;3320;0;0;1816;0;0;3320;0;
15m 37s 14;8;19144;153;40;19136;765;0;4824;0;170;19128;3251;20;19128;382;176;4824;849;14;19144;268;24;4992;119;12;3320;39;0;3320;0;0;1816;0;0;3320;0;
15m 37s 132;8;19144;153;36;19136;688;0;4824;0;170;19128;3251;20;19128;382;176;4824;849;14;19144;268;24;4992;119;12;3320;39;0;3320;0;0;1816;0;0;3320;0;
15m 37s 257;8;19144;153;36;19136;688;0;4824;0;168;19128;3213;20;19128;382;176;4824;829;14;19144;268;24;4992;119;12;3320;39;0;3320;0;0;1816;0;0;3320;0;
15m 37s 372;8;19144;153;36;19136;688;0;4824;0;168;19128;3213;16;19128;306;172;4824;829;14;19144;268;24;4992;119;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
15m 37s 492;8;19144;153;40;19136;765;0;4824;0;168;19128;3213;16;19128;306;172;4824;829;14;19144;268;24;4992;119;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
15m 37s 611;8;19144;153;40;19136;765;0;4824;0;168;19128;3213;16;19128;306;172;4824;829;14;19144;268;24;4992;119;12;3320;39;0;3320;0;0;1816;0;0;3320;0;
15m 37s 728;8;19144;153;40;19136;765;0;4824;0;168;19128;3213;16;19128;306;172;4824;829;14;19144;268;24;4992;119;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
15m 37s 845;8;19144;153;40;19136;765;0;4824;0;168;19128;3213;16;19128;306;172;4824;829;14;19144;268;24;4992;119;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
15m 37s 964;8;19144;153;36;19136;688;0;4824;0;168;19128;3213;16;19128;306;172;4824;829;14;19144;268;24;4992;119;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
