TIME;VDD_SYS_GPU_CURRENT;VDD_SYS_GPU_VOLTAGE;VDD_SYS_GPU_POWER;VDD_SYS_SOC_CURRENT;VDD_SYS_SOC_VOLTAGE;VDD_SYS_SOC_POWER;VDD_4VO_WIFI_CURRENT;VDD_4VO_WIFI_VOLTAGE;VDD_4VO_WIFI_POWER;VDD_IN_CURRENT;VDD_IN_VOLTAGE;VDD_IN_POWER;VDD_SYS_CPU_CURRENT;VDD_SYS_CPU_VOLTAGE;VDD_SYS_CPU_POWER;VDD_SYS_DDR_CURRENT;VDD_SYS_DDR_VOLTAGE;VDD_SYS_DDR_POWER;VDD_MUX_CURRENT;VDD_MUX_VOLTAGE;VDD_MUX_POWER;VDD_5VO_IO_SYS_CURRENT;VDD_5VO_IO_SYS_VOLTAGE;VDD_5VO_IO_SYS_POWER;VDD_3V3_SYS_CURRENT;VDD_3V3_SYS_VOLTAGE;VDD_3V3_SYS_POWER;VDD_3V3_IO_SLP_CURRENT;VDD_3V3_IO_SLP_VOLTAGE;VDD_3V3_IO_SLP_POWER;VDD_1V8_IO_CURRENT;VDD_1V8_IO_VOLTAGE;VDD_1V8_IO_POWER;VDD_3V3_SYSi_M2_CURRENT;VDD_3V3_SYSi_M2_VOLTAGE;VDD_3V3_SYSi_M2_POWER;
31m 53s 973;8;19144;153;36;19136;688;0;4824;0;160;19128;3060;12;19128;229;168;4824;810;14;19144;268;24;4992;119;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
31m 54s 87;8;19144;153;36;19136;688;0;4824;0;164;19128;3136;16;19128;306;172;4824;829;12;19144;229;24;4992;119;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
31m 54s 201;8;19144;153;36;19136;688;0;4824;0;166;19128;3175;16;19128;306;172;4824;829;14;19144;268;24;4992;119;12;3320;39;0;3320;0;0;1816;0;0;3320;0;
31m 54s 317;8;19144;153;36;19136;688;0;4824;0;166;19128;3175;16;19128;306;172;4824;829;14;19144;268;24;4992;119;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
31m 54s 435;8;19144;153;36;19136;688;0;4824;0;166;19128;3175;16;19128;306;172;4824;829;14;19144;268;24;4992;119;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
31m 54s 555;8;19144;153;36;19136;688;0;4824;0;166;19128;3175;16;19128;306;172;4824;829;14;19144;268;24;4992;119;12;3320;39;0;3320;0;0;1816;0;0;3320;0;
31m 54s 672;8;19144;153;36;19136;688;0;4824;0;166;19128;3175;16;19128;306;172;4824;829;12;19144;229;24;4992;119;12;3320;39;0;3320;0;0;1816;0;0;3320;0;
31m 54s 790;8;19144;153;36;19136;688;0;4824;0;166;19128;3175;16;19128;306;172;4824;829;14;19144;268;24;4992;119;12;3320;39;0;3320;0;0;1816;0;0;3320;0;
31m 54s 912;8;19144;153;36;19136;688;0;4824;0;166;19128;3175;16;19128;306;172;4824;829;14;19144;268;24;4992;119;12;3320;39;0;3320;0;0;1816;0;0;3320;0;
31m 55s 37;8;19144;153;36;19136;688;0;4824;0;166;19128;3175;16;19128;306;172;4824;829;14;19144;268;24;4992;120;12;3320;39;0;3320;0;0;1816;0;0;3320;0;
31m 55s 154;8;19144;153;36;19136;688;0;4824;0;166;19128;3175;16;19128;306;172;4824;829;14;19144;268;24;4992;119;12;3320;39;0;3320;0;0;1816;0;0;3320;0;
31m 55s 277;8;19144;153;36;19136;688;0;4824;0;166;19128;3175;16;19128;306;172;4824;829;14;19144;268;24;4992;119;12;3320;39;0;3320;0;0;1816;0;0;3320;0;
31m 55s 396;8;19144;153;36;19136;688;0;4824;0;168;19128;3213;16;19128;306;172;4824;829;14;19144;268;24;4992;119;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
31m 55s 511;8;19144;153;36;19136;688;0;4824;0;168;19128;3213;16;19128;306;172;4824;829;14;19144;268;24;4992;119;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
31m 55s 628;8;19144;153;36;19136;688;0;4824;0;168;19128;3213;16;19128;306;172;4824;829;14;19144;268;24;4992;119;12;3320;39;0;3320;0;0;1816;0;0;3320;0;
31m 55s 746;8;19144;153;36;19136;688;0;4824;0;168;19128;3213;16;19128;306;172;4824;829;14;19144;268;24;4992;119;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
31m 55s 860;8;19144;153;36;19136;688;0;4824;0;168;19128;3213;16;19128;306;172;4824;829;14;19144;268;24;4992;119;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
31m 55s 978;8;19144;153;36;19136;688;0;4824;0;168;19128;3213;16;19128;306;172;4824;829;14;19144;268;24;4992;119;12;3320;39;0;3320;0;0;1816;0;0;3320;0;
31m 56s 96;8;19144;153;36;19136;688;0;4824;0;168;19128;3213;16;19128;306;172;4824;829;14;19144;268;24;5000;120;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
31m 56s 214;8;19144;153;36;19136;688;0;4824;0;168;19128;3213;16;19128;306;172;4824;829;14;19144;268;24;4992;119;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
31m 56s 328;8;19144;153;36;19136;688;0;4824;0;168;19128;3213;16;19128;306;172;4824;829;14;19144;268;24;4992;119;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
31m 56s 444;8;19144;153;36;19136;688;0;4824;0;168;19128;3213;16;19128;306;172;4824;829;14;19144;268;24;5000;120;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
31m 56s 559;8;19144;153;36;19136;688;0;4824;0;168;19128;3213;16;19128;306;172;4824;829;14;19144;268;24;4992;120;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
31m 56s 673;8;19144;153;36;19136;688;0;4824;0;168;19128;3213;16;19128;306;172;4816;828;14;19144;268;24;4992;119;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
31m 56s 787;8;19144;153;36;19136;688;0;4824;0;168;19128;3213;16;19128;306;172;4824;829;14;19144;268;24;4992;119;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
31m 56s 902;8;19144;153;36;19136;688;0;4824;0;168;19128;3213;16;19128;306;172;4824;829;14;19144;268;24;4992;119;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
31m 57s 16;8;19144;153;36;19136;688;0;4824;0;168;19128;3213;16;19128;306;172;4824;829;14;19144;268;24;4992;119;12;3320;39;0;3320;0;0;1816;0;0;3320;0;
31m 57s 134;8;19144;153;36;19136;688;0;4824;0;168;19128;3213;16;19128;306;172;4824;829;14;19144;268;24;4992;119;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
31m 57s 250;8;19144;153;36;19136;688;0;4824;0;168;19128;3213;16;19128;306;172;4824;829;14;19144;268;24;4992;119;12;3320;39;0;3320;0;0;1816;0;0;3320;0;
31m 57s 363;8;19144;153;36;19136;688;0;4824;0;168;19128;3213;16;19128;306;172;4824;829;14;19144;268;24;4992;119;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
31m 57s 487;8;19144;153;36;19136;688;0;4824;0;168;19128;3213;16;19128;306;172;4824;829;14;19144;268;24;5000;120;12;3320;39;0;3320;0;0;1816;0;0;3320;0;
31m 57s 601;8;19144;153;36;19136;688;0;4824;0;168;19128;3213;16;19128;306;172;4824;829;14;19144;268;24;5000;120;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
31m 57s 715;8;19144;153;36;19136;688;0;4824;0;168;19128;3213;16;19128;306;172;4824;829;12;19144;229;24;4992;119;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
31m 57s 830;8;19144;153;36;19136;688;0;4824;0;182;19128;3481;28;19128;535;180;4824;868;14;19144;268;24;5000;120;12;3320;39;0;3320;0;0;1816;0;0;3320;0;
31m 57s 944;8;19136;153;40;19128;765;0;4824;0;198;19128;3787;44;19128;841;188;4824;906;14;19144;268;24;4992;120;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
31m 58s 59;8;19136;153;40;19128;765;0;4824;0;210;19128;4016;52;19128;994;192;4824;924;14;19144;268;24;4992;119;12;3320;39;0;3320;0;0;1816;0;0;3320;0;
31m 58s 173;8;19136;153;40;19128;765;0;4824;0;218;19128;4169;60;19120;1147;196;4816;943;14;19136;267;24;4992;119;12;3320;39;0;3320;0;0;1816;0;0;3320;0;
31m 58s 288;8;19136;153;40;19128;765;0;4824;0;226;19128;4322;64;19120;1223;200;4824;964;14;19136;267;24;4992;119;12;3320;39;0;3320;0;0;1816;0;0;3320;0;
31m 58s 402;8;19136;153;40;19128;765;0;4824;0;232;19128;4437;68;19120;1300;204;4816;982;14;19136;267;24;4992;119;12;3320;39;0;3320;0;0;1816;0;0;3320;0;
31m 58s 517;8;19136;153;40;19128;765;0;4824;0;236;19120;4512;72;19120;1376;204;4816;982;14;19136;267;24;5000;120;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
31m 58s 631;8;19136;153;40;19128;765;0;4824;0;238;19120;4550;76;19120;1453;208;4816;1003;14;19136;267;24;5000;120;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
31m 58s 745;8;19136;153;40;19128;765;0;4824;0;240;19120;4588;76;19120;1453;208;4816;1001;14;19136;267;24;5000;120;12;3320;39;0;3320;0;0;1816;0;0;3320;0;
31m 58s 859;8;19128;153;40;19128;765;0;4824;0;242;19120;4627;76;19120;1453;208;4816;1001;14;19136;267;24;4992;119;12;3320;39;0;3320;0;0;1816;0;0;3320;0;
31m 58s 973;8;19128;153;40;19128;765;0;4824;0;244;19120;4665;80;19120;1529;208;4816;1001;14;19136;267;24;5000;120;12;3320;39;0;3320;0;0;1816;0;0;3320;0;
31m 59s 89;8;19128;153;40;19128;765;0;4824;0;246;19120;4703;80;19120;1529;212;4816;1020;14;19136;267;24;5000;120;12;3320;39;0;3320;0;0;1816;0;0;3320;0;
31m 59s 203;8;19128;153;40;19128;765;0;4824;0;248;19120;4741;80;19120;1529;212;4816;1020;14;19136;267;24;4992;119;12;3320;39;0;3320;0;0;1816;0;0;3320;0;
31m 59s 317;8;19128;153;40;19128;765;0;4824;0;248;19120;4741;80;19120;1529;212;4816;1020;14;19136;267;24;4992;119;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
31m 59s 432;8;19128;153;40;19128;765;0;4824;0;250;19120;4780;80;19120;1529;212;4816;1020;14;19136;267;24;5000;120;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
31m 59s 546;8;19128;153;40;19120;764;4;4824;19;252;19120;4818;84;19120;1606;212;4816;1020;14;19136;267;24;4992;119;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
31m 59s 661;8;19128;153;40;19128;765;0;4824;0;252;19120;4818;84;19120;1606;212;4816;1020;14;19136;267;24;4992;119;12;3320;39;0;3320;0;0;1816;0;0;3320;0;
31m 59s 775;8;19128;153;40;19128;765;0;4824;0;250;19120;4780;84;19120;1606;212;4824;1022;12;19136;229;24;4992;119;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
31m 59s 889;8;19128;153;40;19128;765;0;4824;0;252;19120;4818;84;19120;1606;212;4816;1020;14;19136;267;24;4992;119;12;3320;39;0;3320;0;0;1816;0;0;3320;0;
32m 0s 15;8;19128;153;40;19128;765;0;4824;0;252;19120;4818;84;19120;1606;212;4824;1022;14;19136;267;24;4992;119;12;3320;39;0;3320;0;0;1816;0;0;3320;0;
32m 0s 130;8;19128;153;40;19120;764;0;4824;0;254;19120;4856;84;19120;1606;216;4816;1040;14;19136;267;16;4992;79;12;3320;39;0;3320;0;0;1816;0;0;3320;0;
32m 0s 244;8;19128;153;40;19120;764;0;4824;0;256;19120;4894;84;19120;1606;220;4816;1059;14;19136;267;24;4992;119;12;3320;39;0;3320;0;0;1816;0;0;3320;0;
32m 0s 359;8;19128;153;40;19120;764;0;4824;0;256;19120;4894;84;19120;1606;216;4816;1040;14;19136;267;24;4992;79;12;3320;39;0;3320;0;0;1816;0;0;3320;0;
32m 0s 473;8;19128;153;40;19120;764;0;4824;0;254;19120;4856;84;19120;1606;216;4824;1041;12;19136;229;24;4992;119;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
32m 0s 588;8;19128;153;40;19128;765;0;4824;0;254;19120;4856;84;19120;1606;216;4824;1041;12;19136;229;24;4992;119;12;3320;39;0;3320;0;0;1816;0;0;3320;0;
32m 0s 703;8;19128;153;40;19120;764;8;4824;38;258;19120;4932;84;19120;1606;216;4824;1041;14;19136;267;24;4992;119;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
32m 0s 818;8;19128;153;40;19120;764;24;4824;115;262;19120;5009;84;19120;1606;216;4824;1041;14;19136;267;24;4992;119;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
32m 0s 932;8;19128;153;40;19120;764;36;4824;173;266;19120;5085;84;19120;1606;216;4816;1040;14;19136;267;24;4992;119;12;3320;39;0;3320;0;0;1816;0;0;3320;0;
32m 1s 49;8;19128;153;40;19120;764;48;4824;231;268;19120;5124;84;19120;1606;216;4816;1040;14;19136;267;24;4992;119;12;3320;39;0;3320;0;0;1816;0;0;3320;0;
32m 1s 165;8;19128;153;40;19120;764;56;4824;270;270;19120;5162;84;19120;1606;216;4816;1040;14;19136;267;24;4992;119;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
32m 1s 280;8;19128;153;40;19120;764;60;4824;289;272;19120;5200;84;19120;1606;216;4816;1040;14;19136;267;24;4992;119;12;3320;39;0;3320;0;0;1816;0;0;3320;0;
32m 1s 395;8;19128;153;40;19120;764;64;4824;308;274;19120;5238;84;19120;1606;216;4816;1040;12;19136;229;24;4992;119;12;3320;39;0;3320;0;0;1816;0;0;3320;0;
32m 1s 511;8;19128;153;40;19120;764;68;4824;328;274;19120;5238;84;19120;1606;216;4824;1041;14;19136;267;24;5000;120;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
32m 1s 626;8;19128;153;40;19120;764;72;4824;347;274;19120;5238;84;19120;1606;216;4824;1041;12;19136;229;24;5000;120;12;3320;39;0;3320;0;0;1816;0;0;3320;0;
32m 1s 741;8;19128;153;40;19120;764;76;4824;366;276;19120;5277;84;19120;1606;216;4824;1041;12;19136;229;24;4992;119;12;3320;39;0;3320;0;0;1816;0;0;3320;0;
32m 1s 855;8;19128;153;40;19120;764;76;4824;366;276;19120;5277;84;19120;1606;216;4824;1041;12;19136;229;24;4992;119;12;3320;39;0;3320;0;0;1816;0;0;3320;0;
32m 1s 970;8;19128;153;40;19120;764;76;4824;366;274;19120;5238;84;19120;1606;212;4816;1020;12;19136;229;24;5000;120;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
32m 2s 84;8;19128;153;40;19120;764;76;4824;366;274;19120;5238;84;19120;1606;212;4816;1020;14;19136;267;24;4992;119;12;3320;39;0;3320;0;0;1816;0;0;3320;0;
32m 2s 201;8;19128;153;40;19120;764;76;4824;366;274;19120;5238;84;19120;1606;212;4816;1020;14;19136;267;24;5000;120;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
32m 2s 315;8;19128;153;40;19120;764;80;4824;385;274;19120;5238;84;19120;1606;212;4816;1020;14;19136;267;24;4992;119;12;3320;39;0;3320;0;0;1816;0;0;3320;0;
32m 2s 433;8;19128;153;40;19120;764;64;4824;308;272;19120;5200;84;19120;1606;216;4824;1041;14;19136;267;24;5000;120;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
32m 2s 550;8;19128;153;40;19120;764;48;4824;231;268;19120;5124;84;19120;1606;216;4824;1041;14;19136;267;24;5000;119;12;3320;39;0;3320;0;0;1816;0;0;3320;0;
32m 2s 669;8;19128;153;40;19120;764;36;4824;173;266;19120;5085;88;19120;1682;212;4824;1022;14;19136;267;24;4992;119;12;3320;39;0;3320;0;0;1816;0;0;3320;0;
32m 2s 783;8;19128;153;40;19120;764;28;4824;135;260;19120;4971;84;19120;1606;212;4824;1022;14;19136;267;24;4992;119;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
32m 2s 897;8;19128;153;40;19120;764;20;4824;96;256;19120;4894;84;19120;1606;208;4824;1003;14;19136;267;24;4992;119;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
32m 3s 19;8;19128;153;40;19120;764;16;4824;77;256;19120;4894;88;19120;1682;208;4824;1001;14;19136;267;24;5000;120;12;3320;39;0;3320;0;0;1816;0;0;3320;0;
