TIME;VDD_SYS_GPU_CURRENT;VDD_SYS_GPU_VOLTAGE;VDD_SYS_GPU_POWER;VDD_SYS_SOC_CURRENT;VDD_SYS_SOC_VOLTAGE;VDD_SYS_SOC_POWER;VDD_4VO_WIFI_CURRENT;VDD_4VO_WIFI_VOLTAGE;VDD_4VO_WIFI_POWER;VDD_IN_CURRENT;VDD_IN_VOLTAGE;VDD_IN_POWER;VDD_SYS_CPU_CURRENT;VDD_SYS_CPU_VOLTAGE;VDD_SYS_CPU_POWER;VDD_SYS_DDR_CURRENT;VDD_SYS_DDR_VOLTAGE;VDD_SYS_DDR_POWER;VDD_MUX_CURRENT;VDD_MUX_VOLTAGE;VDD_MUX_POWER;VDD_5VO_IO_SYS_CURRENT;VDD_5VO_IO_SYS_VOLTAGE;VDD_5VO_IO_SYS_POWER;VDD_3V3_SYS_CURRENT;VDD_3V3_SYS_VOLTAGE;VDD_3V3_SYS_POWER;VDD_3V3_IO_SLP_CURRENT;VDD_3V3_IO_SLP_VOLTAGE;VDD_3V3_IO_SLP_POWER;VDD_1V8_IO_CURRENT;VDD_1V8_IO_VOLTAGE;VDD_1V8_IO_POWER;VDD_3V3_SYSi_M2_CURRENT;VDD_3V3_SYSi_M2_VOLTAGE;VDD_3V3_SYSi_M2_POWER;
16m 1s 865;8;19144;153;32;19136;612;0;4824;0;132;19136;2525;8;19136;153;100;4824;482;14;19144;268;24;4992;119;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
16m 1s 975;8;19144;153;32;19136;612;4;4824;19;136;19136;2602;12;19136;229;100;4824;482;14;19144;268;24;4992;119;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
16m 2s 89;8;19144;153;32;19136;612;0;4824;0;136;19136;2602;12;19136;229;104;4824;501;14;19144;268;24;4992;119;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
16m 2s 203;8;19144;153;32;19136;612;0;4824;0;136;19136;2602;12;19136;229;104;4824;501;14;19144;268;24;4992;119;12;3320;39;0;3320;0;0;1816;0;0;3320;0;
16m 2s 316;8;19144;153;32;19136;612;0;4824;0;136;19136;2602;12;19136;229;104;4824;501;14;19144;268;24;4992;119;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
16m 2s 429;8;19144;153;32;19136;612;0;4824;0;136;19136;2602;12;19136;229;104;4824;501;14;19144;268;24;4992;119;12;3320;39;0;3320;0;0;1816;0;0;3320;0;
16m 2s 543;8;19144;153;32;19136;612;0;4824;0;136;19136;2602;12;19136;229;104;4824;501;14;19144;268;24;4992;119;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
16m 2s 657;8;19144;153;32;19136;612;0;4824;0;138;19136;2640;12;19136;229;104;4824;501;14;19144;268;24;4992;119;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
16m 2s 771;8;19144;153;32;19136;612;0;4824;0;138;19136;2640;12;19136;229;104;4824;501;14;19144;268;24;4992;119;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
16m 2s 885;8;19144;153;32;19136;612;0;4824;0;138;19136;2640;12;19136;229;104;4824;501;14;19144;268;24;4992;119;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
