TIME;VDD_SYS_GPU_CURRENT;VDD_SYS_GPU_VOLTAGE;VDD_SYS_GPU_POWER;VDD_SYS_SOC_CURRENT;VDD_SYS_SOC_VOLTAGE;VDD_SYS_SOC_POWER;VDD_4VO_WIFI_CURRENT;VDD_4VO_WIFI_VOLTAGE;VDD_4VO_WIFI_POWER;VDD_IN_CURRENT;VDD_IN_VOLTAGE;VDD_IN_POWER;VDD_SYS_CPU_CURRENT;VDD_SYS_CPU_VOLTAGE;VDD_SYS_CPU_POWER;VDD_SYS_DDR_CURRENT;VDD_SYS_DDR_VOLTAGE;VDD_SYS_DDR_POWER;VDD_MUX_CURRENT;VDD_MUX_VOLTAGE;VDD_MUX_POWER;VDD_5VO_IO_SYS_CURRENT;VDD_5VO_IO_SYS_VOLTAGE;VDD_5VO_IO_SYS_POWER;VDD_3V3_SYS_CURRENT;VDD_3V3_SYS_VOLTAGE;VDD_3V3_SYS_POWER;VDD_3V3_IO_SLP_CURRENT;VDD_3V3_IO_SLP_VOLTAGE;VDD_3V3_IO_SLP_POWER;VDD_1V8_IO_CURRENT;VDD_1V8_IO_VOLTAGE;VDD_1V8_IO_POWER;VDD_3V3_SYSi_M2_CURRENT;VDD_3V3_SYSi_M2_VOLTAGE;VDD_3V3_SYSi_M2_POWER;
17m 27s 363;8;19144;153;28;19136;535;0;4824;0;128;19136;2449;8;19136;153;92;4824;443;14;19144;268;24;4992;119;12;3320;39;0;3320;0;0;1816;0;0;3320;0;
17m 27s 474;8;19144;153;28;19136;535;0;4824;0;132;19136;2525;12;19136;229;96;4824;463;14;19144;268;24;4992;119;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
17m 27s 587;8;19144;153;28;19136;535;0;4824;0;132;19136;2525;12;19136;229;96;4824;463;14;19144;268;24;4992;119;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
17m 27s 701;8;19144;153;28;19136;535;16;4824;77;138;19136;2640;12;19136;229;96;4824;463;14;19144;268;24;4992;119;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
17m 27s 815;8;19144;153;28;19136;535;32;4824;154;142;19136;2717;12;19136;229;96;4824;463;14;19144;268;24;4992;119;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
17m 27s 929;8;19144;153;28;19136;535;44;4824;212;146;19136;2793;12;19136;229;96;4824;463;14;19144;268;24;4992;119;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
17m 28s 42;8;19144;153;28;19136;535;52;4824;250;150;19136;2870;12;19136;229;100;4824;482;14;19144;268;24;4992;119;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
17m 28s 156;8;19144;153;28;19136;535;60;4824;289;152;19136;2908;12;19136;229;100;4824;482;14;19144;268;24;4992;119;12;3320;39;0;3320;0;0;1816;0;0;3320;0;
17m 28s 269;8;19144;153;28;19136;535;64;4824;308;152;19136;2908;12;19136;229;100;4824;482;14;19144;268;24;4992;119;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
17m 28s 383;8;19144;153;28;19136;535;68;4824;328;154;19136;2946;12;19128;229;96;4824;463;14;19144;268;24;4992;119;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
17m 28s 495;8;19144;153;28;19136;535;68;4824;328;154;19136;2946;12;19128;229;96;4824;463;14;19144;268;24;4992;119;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
17m 28s 609;8;19144;153;28;19136;535;72;4824;347;156;19128;2983;12;19128;229;96;4824;463;14;19144;268;24;4992;119;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
17m 28s 721;8;19144;153;28;19136;535;76;4824;366;158;19128;3022;12;19128;229;96;4824;463;14;19144;268;24;4992;119;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
17m 28s 835;8;19144;153;28;19136;535;76;4824;366;158;19128;3022;12;19128;229;96;4824;463;14;19144;268;24;4992;119;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
17m 28s 949;8;19144;153;28;19136;535;76;4824;366;158;19136;3023;12;19128;229;96;4824;463;14;19144;268;24;4992;119;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
17m 29s 63;8;19144;153;28;19136;535;76;4824;366;158;19136;3022;12;19128;229;96;4824;463;12;19144;268;24;4992;119;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
17m 29s 177;8;19144;153;28;19136;535;76;4824;366;158;19128;3022;12;19128;229;96;4824;463;14;19144;268;24;4992;119;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
17m 29s 292;8;19144;153;28;19136;535;76;4824;366;158;19136;3022;12;19128;229;96;4824;463;14;19144;268;24;4992;119;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
