TIME;VDD_SYS_GPU_CURRENT;VDD_SYS_GPU_VOLTAGE;VDD_SYS_GPU_POWER;VDD_SYS_SOC_CURRENT;VDD_SYS_SOC_VOLTAGE;VDD_SYS_SOC_POWER;VDD_4VO_WIFI_CURRENT;VDD_4VO_WIFI_VOLTAGE;VDD_4VO_WIFI_POWER;VDD_IN_CURRENT;VDD_IN_VOLTAGE;VDD_IN_POWER;VDD_SYS_CPU_CURRENT;VDD_SYS_CPU_VOLTAGE;VDD_SYS_CPU_POWER;VDD_SYS_DDR_CURRENT;VDD_SYS_DDR_VOLTAGE;VDD_SYS_DDR_POWER;VDD_MUX_CURRENT;VDD_MUX_VOLTAGE;VDD_MUX_POWER;VDD_5VO_IO_SYS_CURRENT;VDD_5VO_IO_SYS_VOLTAGE;VDD_5VO_IO_SYS_POWER;VDD_3V3_SYS_CURRENT;VDD_3V3_SYS_VOLTAGE;VDD_3V3_SYS_POWER;VDD_3V3_IO_SLP_CURRENT;VDD_3V3_IO_SLP_VOLTAGE;VDD_3V3_IO_SLP_POWER;VDD_1V8_IO_CURRENT;VDD_1V8_IO_VOLTAGE;VDD_1V8_IO_POWER;VDD_3V3_SYSi_M2_CURRENT;VDD_3V3_SYSi_M2_VOLTAGE;VDD_3V3_SYSi_M2_POWER;
20m 27s 148;8;19144;153;32;19136;612;0;4824;0;132;19136;2525;8;19136;153;100;4824;482;14;19144;268;24;4992;119;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
20m 27s 259;8;19144;153;32;19136;612;0;4824;0;136;19136;2602;12;19136;229;100;4824;482;14;19144;268;24;4992;119;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
20m 27s 373;8;19144;153;32;19136;612;0;4824;0;136;19136;2602;12;19136;229;104;4824;501;14;19144;229;24;4992;119;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
20m 27s 484;8;19144;153;32;19136;612;0;4824;0;138;19136;2640;12;19136;229;104;4824;501;14;19144;268;24;4992;119;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
20m 27s 597;8;19144;153;32;19136;612;0;4824;0;138;19136;2640;12;19136;229;104;4824;501;14;19144;268;24;4992;119;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
20m 27s 710;8;19144;153;32;19136;612;0;4824;0;138;19136;2640;12;19136;229;104;4824;501;14;19144;268;24;4992;119;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
20m 27s 823;8;19144;153;32;19136;612;0;4824;0;138;19136;2640;12;19136;229;104;4824;501;12;19144;229;24;4992;119;12;3320;39;0;3320;0;0;1816;0;0;3320;0;
20m 27s 935;8;19144;153;32;19136;612;0;4824;0;138;19136;2640;12;19136;229;104;4824;501;14;19144;268;24;4992;119;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
20m 28s 49;8;19144;153;32;19136;612;0;4824;0;138;19136;2640;12;19136;229;104;4824;501;14;19144;268;24;4992;119;12;3320;39;0;3320;0;0;1816;0;0;3320;0;
20m 28s 162;8;19144;153;32;19136;612;0;4824;0;138;19136;2640;12;19136;229;104;4824;501;14;19144;268;24;4992;119;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
20m 28s 276;8;19144;153;32;19136;612;0;4824;0;138;19136;2640;12;19136;229;104;4824;501;14;19144;268;24;4992;119;12;3320;39;0;3320;0;0;1816;0;0;3320;0;
20m 28s 389;8;19144;153;32;19136;612;0;4824;0;140;19136;2679;12;19136;229;104;4824;501;14;19144;268;24;4992;119;12;3320;39;0;3320;0;0;1816;0;0;3320;0;
20m 28s 503;8;19144;153;32;19136;612;0;4824;0;140;19136;2679;12;19136;229;104;4824;501;14;19144;268;24;4992;119;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
20m 28s 617;8;19144;153;32;19136;612;0;4824;0;140;19136;2679;12;19136;229;104;4824;501;14;19144;268;24;4992;119;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
20m 28s 731;8;19144;153;32;19136;612;0;4824;0;140;19136;2679;16;19136;306;104;4824;501;14;19144;268;24;4992;119;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
20m 28s 845;8;19144;153;32;19136;612;0;4824;0;140;19136;2679;16;19136;306;104;4824;501;14;19144;268;24;4992;119;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
20m 28s 959;8;19144;153;32;19136;612;0;4824;0;140;19136;2679;16;19136;306;104;4824;501;14;19144;268;24;4992;119;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
20m 29s 73;8;19144;153;32;19136;612;0;4824;0;140;19136;2679;12;19136;229;104;4824;501;14;19144;268;24;4992;119;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
20m 29s 185;8;19144;153;32;19136;612;0;4824;0;140;19136;2679;12;19136;229;104;4824;501;14;19144;268;24;4992;119;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
20m 29s 299;8;19144;153;32;19136;612;0;4824;0;142;19136;2717;16;19136;306;104;4824;501;12;19144;229;24;4992;119;12;3320;39;0;3320;0;0;1816;0;0;3320;0;
20m 29s 409;8;19144;153;32;19136;612;0;4824;0;142;19136;2717;16;19136;306;108;4824;520;12;19144;229;24;4992;119;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
20m 29s 519;8;19144;153;32;19136;612;0;4824;0;146;19136;2793;20;19136;382;112;4824;540;12;19144;229;24;4992;119;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
20m 29s 629;8;19144;153;32;19136;612;0;4824;0;150;19136;2870;20;19136;382;120;4824;578;14;19144;268;24;4992;119;12;3320;39;0;3320;0;0;1816;0;0;3320;0;
20m 29s 738;8;19144;153;32;19136;612;0;4824;0;154;19136;2946;20;19128;382;120;4824;578;14;19144;268;24;4992;119;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
20m 29s 849;8;19144;153;32;19136;612;0;4824;0;162;19128;3098;28;19128;535;124;4824;598;14;19144;268;24;4992;119;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
20m 29s 958;8;19144;153;32;19136;612;0;4824;0;170;19128;3251;36;19128;688;132;4824;636;14;19144;268;24;4992;119;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
20m 30s 68;8;19144;153;32;19136;612;0;4824;0;174;19128;3328;40;19128;765;132;4824;636;14;19144;268;24;4992;119;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
20m 30s 177;8;19144;153;32;19136;612;0;4824;0;176;19128;3366;40;19128;765;132;4824;636;14;19144;268;24;4992;119;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
20m 30s 286;8;19144;153;32;19136;612;0;4824;0;176;19128;3366;44;19128;841;128;4824;617;12;19144;229;24;4992;119;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
20m 30s 396;8;19144;153;32;19136;612;0;4824;0;176;19128;3366;44;19128;841;124;4824;598;12;19144;229;24;4992;119;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
20m 30s 505;8;19136;153;32;19136;612;0;4824;0;176;19128;3366;44;19128;841;124;4824;598;14;19144;268;24;4992;119;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
20m 30s 615;8;19144;153;32;19136;612;0;4824;0;174;19128;3328;44;19128;841;120;4824;578;12;19144;229;24;4992;119;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
20m 30s 724;8;19144;153;32;19136;612;0;4824;0;172;19128;3290;40;19128;765;120;4824;578;14;19144;268;24;4992;119;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
20m 30s 833;8;19144;153;32;19136;612;0;4824;0;168;19128;3213;40;19128;765;116;4824;559;14;19144;268;24;4992;119;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
20m 30s 944;8;19144;153;32;19136;612;0;4824;0;168;19128;3213;36;19128;688;116;4824;559;14;19144;268;24;4992;119;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
20m 31s 53;8;19144;153;32;19136;612;0;4824;0;170;19128;3251;40;19128;765;120;4824;578;14;19144;268;24;4992;119;12;3320;39;0;3320;0;0;1816;0;0;3320;0;
20m 31s 162;8;19144;153;32;19136;612;0;4824;0;168;19128;3213;40;19128;765;120;4824;578;14;19144;268;24;4992;119;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
20m 31s 271;8;19144;153;32;19136;612;0;4824;0;168;19128;3213;40;19128;765;120;4824;578;14;19144;268;24;4992;119;12;3320;39;0;3320;0;0;1816;0;0;3320;0;
20m 31s 381;8;19144;153;32;19136;612;0;4824;0;166;19128;3175;36;19128;688;116;4824;559;14;19144;268;24;4992;119;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
