TIME;VDD_SYS_GPU_CURRENT;VDD_SYS_GPU_VOLTAGE;VDD_SYS_GPU_POWER;VDD_SYS_SOC_CURRENT;VDD_SYS_SOC_VOLTAGE;VDD_SYS_SOC_POWER;VDD_4VO_WIFI_CURRENT;VDD_4VO_WIFI_VOLTAGE;VDD_4VO_WIFI_POWER;VDD_IN_CURRENT;VDD_IN_VOLTAGE;VDD_IN_POWER;VDD_SYS_CPU_CURRENT;VDD_SYS_CPU_VOLTAGE;VDD_SYS_CPU_POWER;VDD_SYS_DDR_CURRENT;VDD_SYS_DDR_VOLTAGE;VDD_SYS_DDR_POWER;VDD_MUX_CURRENT;VDD_MUX_VOLTAGE;VDD_MUX_POWER;VDD_5VO_IO_SYS_CURRENT;VDD_5VO_IO_SYS_VOLTAGE;VDD_5VO_IO_SYS_POWER;VDD_3V3_SYS_CURRENT;VDD_3V3_SYS_VOLTAGE;VDD_3V3_SYS_POWER;VDD_3V3_IO_SLP_CURRENT;VDD_3V3_IO_SLP_VOLTAGE;VDD_3V3_IO_SLP_POWER;VDD_1V8_IO_CURRENT;VDD_1V8_IO_VOLTAGE;VDD_1V8_IO_POWER;VDD_3V3_SYSi_M2_CURRENT;VDD_3V3_SYSi_M2_VOLTAGE;VDD_3V3_SYSi_M2_POWER;
22m 13s 428;8;19152;153;24;19144;459;0;4824;0;112;19136;2143;12;19136;229;52;4824;250;14;19152;268;24;4992;119;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
22m 13s 540;8;19144;153;24;19144;459;0;4824;0;116;19136;2219;12;19136;229;60;4824;289;14;19144;268;24;4992;119;12;3320;39;0;3320;0;0;1816;0;0;3320;0;
22m 13s 656;8;19144;153;24;19144;459;0;4824;0;118;19136;2258;12;19136;229;64;4824;308;14;19144;268;24;4992;119;12;3320;39;0;3320;0;0;1816;0;0;3320;0;
22m 13s 771;8;19144;153;24;19144;459;0;4824;0;118;19136;2258;12;19136;229;68;4824;328;14;19144;268;24;4992;119;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
22m 13s 887;8;19144;153;24;19144;459;0;4824;0;118;19136;2258;12;19136;229;68;4824;328;14;19144;268;24;4992;119;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
22m 14s 2;8;19144;153;24;19144;459;0;4824;0;116;19136;2219;12;19136;229;68;4824;328;14;19152;268;24;4992;119;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
22m 14s 118;8;19144;153;24;19144;459;0;4824;0;116;19136;2219;12;19136;229;68;4824;328;14;19144;268;16;4992;79;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
22m 14s 235;8;19144;153;24;19144;459;0;4824;0;116;19136;2219;12;19136;229;68;4824;328;14;19152;268;24;4992;119;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
22m 14s 351;8;19144;153;24;19144;459;0;4824;0;116;19136;2219;12;19136;229;72;4824;347;14;19152;268;24;4992;119;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
22m 14s 467;8;19152;153;24;19144;459;0;4824;0;118;19136;2258;12;19136;229;68;4824;328;14;19152;268;24;4992;119;12;3320;39;0;3320;0;0;1816;0;0;3320;0;
22m 14s 584;8;19144;153;24;19144;459;0;4824;0;118;19136;2258;12;19136;229;72;4824;347;14;19152;268;24;4992;119;12;3320;39;0;3320;0;0;1816;0;0;3320;0;
22m 14s 700;8;19144;153;24;19144;459;0;4824;0;118;19136;2258;12;19136;229;72;4824;347;14;19152;268;24;4992;119;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
22m 14s 816;8;19144;153;24;19144;459;0;4824;0;118;19136;2258;12;19136;229;72;4824;347;14;19144;268;24;4992;119;12;3320;39;0;3320;0;0;1816;0;0;3320;0;
22m 14s 931;8;19144;153;24;19144;459;0;4824;0;118;19136;2258;12;19136;229;72;4824;347;14;19152;268;24;4992;119;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
22m 15s 48;8;19144;153;24;19144;459;0;4824;0;118;19136;2258;12;19136;229;72;4824;347;14;19144;268;24;4992;119;12;3320;39;0;3320;0;0;1816;0;0;3320;0;
22m 15s 163;8;19144;153;24;19144;459;0;4824;0;118;19136;2258;12;19136;229;68;4824;328;14;19144;268;24;4992;119;12;3320;39;0;3320;0;0;1816;0;0;3320;0;
22m 15s 277;8;19144;153;24;19144;459;0;4824;0;118;19136;2258;12;19136;229;72;4824;347;14;19144;268;24;4992;119;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
22m 15s 393;8;19144;153;24;19144;459;0;4824;0;120;19136;2296;12;19136;229;72;4824;347;14;19144;268;24;4992;119;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
22m 15s 509;8;19144;153;24;19144;459;0;4824;0;120;19136;2296;12;19136;229;72;4824;347;14;19144;268;24;4992;119;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
22m 15s 625;8;19144;153;24;19144;459;0;4824;0;120;19136;2296;12;19136;229;72;4824;347;14;19144;268;24;4992;119;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
22m 15s 740;8;19144;153;24;19144;459;0;4824;0;120;19136;2296;12;19136;229;72;4824;347;12;19144;268;24;4992;119;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
22m 15s 856;8;19144;153;24;19144;459;0;4824;0;120;19136;2296;12;19136;229;72;4824;347;14;19144;229;24;4992;119;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
22m 15s 972;8;19144;153;24;19144;459;0;4824;0;120;19136;2296;12;19136;229;72;4824;347;14;19152;268;24;4992;119;12;3320;39;0;3320;0;0;1816;0;0;3320;0;
22m 16s 88;8;19144;153;24;19144;459;0;4824;0;120;19136;2296;12;19136;229;72;4824;347;14;19144;268;24;4992;119;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
22m 16s 203;8;19144;153;24;19136;459;0;4824;0;120;19136;2296;12;19136;229;76;4824;366;14;19144;268;24;4992;119;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
22m 16s 318;8;19144;153;24;19136;459;0;4824;0;120;19136;2296;12;19136;229;76;4824;366;14;19144;268;24;4992;119;12;3320;39;0;3320;0;0;1816;0;0;3320;0;
22m 16s 434;8;19144;153;24;19144;459;0;4824;0;120;19136;2296;12;19136;229;72;4824;366;14;19144;268;24;4992;119;12;3320;39;0;3320;0;0;1816;0;0;3320;0;
22m 16s 550;8;19144;153;24;19144;459;0;4824;0;120;19136;2296;12;19136;229;72;4824;347;14;19144;268;16;4992;119;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
22m 16s 666;8;19144;153;24;19144;459;0;4824;0;120;19136;2296;12;19136;229;72;4824;347;14;19152;268;24;4992;119;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
22m 16s 783;8;19144;153;24;19144;459;0;4824;0;120;19136;2296;12;19136;229;72;4824;347;14;19152;268;16;4992;79;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
22m 16s 896;8;19144;153;24;19144;459;0;4824;0;120;19136;2296;12;19136;229;72;4824;347;14;19144;268;16;4992;79;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
22m 17s 9;8;19144;153;24;19144;459;0;4824;0;120;19136;2296;12;19136;229;72;4824;347;14;19144;268;16;4992;79;12;3320;39;0;3320;0;0;1816;0;0;3320;0;
22m 17s 123;8;19144;153;24;19136;459;0;4824;0;124;19136;2372;16;19136;306;80;4824;385;14;19144;268;24;4992;119;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
22m 17s 234;8;19144;153;24;19136;459;0;4824;0;130;19136;2487;16;19136;306;88;4824;424;14;19144;268;16;4992;79;12;3320;39;0;3320;0;0;1816;0;0;3320;0;
22m 17s 344;8;19144;153;24;19136;459;0;4824;0;134;19136;2564;20;19136;382;96;4824;463;14;19144;268;24;4992;79;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
22m 17s 454;8;19144;153;24;19136;459;0;4824;0;136;19136;2602;20;19136;382;96;4824;463;14;19144;268;24;4992;119;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
22m 17s 564;8;19144;153;24;19136;459;0;4824;0;138;19136;2640;24;19136;459;96;4824;463;14;19144;268;24;4992;119;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
22m 17s 675;8;19144;153;24;19136;459;0;4824;0;140;19136;2679;24;19136;459;96;4824;463;14;19144;268;24;4992;119;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
22m 17s 785;8;19144;153;28;19136;535;0;4824;0;140;19136;2679;24;19136;459;96;4824;463;14;19144;229;24;4992;119;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
22m 17s 895;8;19144;153;28;19136;535;0;4824;0;140;19136;2679;24;19136;459;92;4824;443;12;19144;229;24;4992;119;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
22m 18s 4;8;19144;153;28;19136;535;0;4824;0;140;19136;2679;24;19136;459;88;4824;424;12;19144;229;24;4992;119;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
22m 18s 115;8;19144;153;28;19136;535;0;4824;0;140;19136;2679;28;19136;535;88;4824;424;14;19144;268;24;4992;119;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
22m 18s 224;8;19144;153;28;19136;535;0;4824;0;140;19136;2679;28;19136;535;88;4824;424;14;19144;268;16;4992;79;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
22m 18s 334;8;19144;153;28;19136;535;0;4824;0;140;19136;2679;28;19136;535;84;4824;405;14;19144;268;24;4992;119;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
22m 18s 444;8;19144;153;28;19136;535;0;4824;0;140;19136;2679;28;19136;535;84;4824;405;14;19144;268;24;4992;119;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
22m 18s 553;8;19144;153;28;19136;535;0;4824;0;140;19136;2679;28;19136;535;84;4824;405;14;19144;268;24;4992;119;12;3320;39;0;3320;0;0;1816;0;0;3320;0;
22m 18s 663;8;19144;153;28;19136;535;0;4824;0;140;19136;2679;28;19136;535;84;4824;405;12;19144;229;24;4992;119;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
22m 18s 774;8;19144;153;28;19136;535;0;4824;0;140;19136;2679;28;19136;535;84;4824;405;12;19144;268;24;4992;119;12;3320;39;0;3320;0;0;1816;0;0;3320;0;
22m 18s 883;8;19144;153;28;19136;535;0;4824;0;144;19136;2755;24;19136;459;92;4824;443;12;19144;229;24;4992;119;12;3320;39;0;3320;0;0;1816;0;0;3320;0;
22m 18s 993;8;19144;153;28;19136;535;0;4824;0;142;19136;2717;28;19136;535;92;4824;443;12;19144;229;24;4992;119;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
22m 19s 103;8;19144;153;28;19136;535;0;4824;0;142;19136;2717;28;19136;535;88;4824;424;14;19144;268;24;4992;119;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
22m 19s 212;8;19144;153;28;19136;535;0;4824;0;142;19136;2717;28;19136;535;88;4824;424;12;19144;229;24;4992;119;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
22m 19s 322;8;19144;153;28;19136;535;0;4824;0;142;19136;2717;28;19136;535;88;4824;424;14;19144;268;24;4992;119;12;3320;39;0;3320;0;0;1816;0;0;3320;0;
22m 19s 432;8;19144;153;28;19136;535;0;4824;0;142;19136;2717;28;19136;535;84;4824;405;14;19144;268;24;4992;119;12;3320;39;0;3320;0;0;1816;0;0;3320;0;
22m 19s 541;8;19144;153;28;19136;535;0;4824;0;142;19136;2717;28;19136;535;84;4824;405;12;19144;229;24;4992;119;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
22m 19s 651;8;19144;153;28;19136;535;0;4824;0;142;19136;2717;28;19136;535;84;4824;405;14;19144;268;24;4992;119;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
22m 19s 761;8;19144;153;28;19136;535;0;4824;0;142;19136;2717;28;19136;535;84;4824;405;14;19144;268;24;4992;119;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
22m 19s 871;8;19144;153;28;19136;535;0;4824;0;142;19136;2717;28;19136;535;84;4824;405;14;19144;268;24;4992;119;12;3320;39;0;3320;0;0;1816;0;0;3320;0;
22m 19s 981;8;19144;153;28;19136;535;0;4824;0;142;19136;2717;28;19136;535;88;4824;424;14;19144;268;24;4992;119;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
22m 20s 91;8;19144;153;28;19136;535;0;4824;0;144;19136;2755;24;19136;459;92;4824;443;14;19144;268;24;4992;119;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
22m 20s 200;8;19144;153;28;19136;535;0;4824;0;144;19136;2755;28;19136;535;92;4824;443;14;19144;268;24;4992;119;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
22m 20s 310;8;19144;153;28;19136;535;0;4824;0;144;19136;2755;28;19136;535;88;4824;424;14;19144;268;24;4992;119;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
22m 20s 420;8;19144;153;28;19136;535;0;4824;0;142;19136;2717;28;19136;535;88;4824;424;14;19144;268;24;4992;119;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
22m 20s 529;8;19144;153;28;19136;535;0;4824;0;144;19136;2755;28;19136;535;88;4824;424;14;19144;268;24;4992;119;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
22m 20s 639;8;19144;153;28;19136;535;0;4824;0;142;19136;2717;28;19136;535;84;4824;405;14;19144;268;24;4992;119;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
22m 20s 749;8;19144;153;28;19136;535;0;4824;0;142;19136;2717;28;19136;535;84;4824;405;14;19144;268;24;4992;119;12;3320;39;0;3320;0;0;1816;0;0;3320;0;
22m 20s 858;8;19144;153;28;19136;535;0;4824;0;142;19136;2717;28;19136;535;84;4824;405;14;19144;268;24;4992;119;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
22m 20s 968;8;19144;153;28;19136;535;0;4824;0;142;19136;2717;28;19136;535;84;4824;405;14;19144;268;24;4992;119;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
22m 21s 78;8;19144;153;28;19136;535;0;4824;0;142;19136;2717;28;19136;535;84;4824;405;14;19144;268;24;4992;119;12;3320;39;0;3320;0;0;1816;0;0;3320;0;
22m 21s 189;8;19144;153;28;19136;535;0;4824;0;144;19136;2755;28;19136;535;88;4824;424;14;19144;268;24;4992;119;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
22m 21s 298;8;19144;153;28;19136;535;0;4824;0;144;19136;2755;28;19136;535;92;4824;443;14;19144;268;24;4992;119;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
22m 21s 408;8;19144;153;28;19136;535;0;4824;0;144;19136;2755;28;19136;535;88;4824;424;14;19144;268;24;4992;119;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
22m 21s 517;8;19144;153;28;19136;535;0;4824;0;144;19136;2755;28;19136;535;88;4824;424;14;19144;268;24;4992;119;12;3320;39;0;3320;0;0;1808;0;0;3320;0;
22m 21s 627;8;19144;153;28;19136;535;0;4824;0;142;19136;2717;28;19136;535;84;4824;405;14;19144;268;24;4992;119;12;3320;39;0;3320;0;0;1816;0;0;3320;0;
22m 21s 737;8;19144;153;28;19136;535;0;4824;0;142;19136;2717;28;19136;535;88;4824;424;14;19144;268;24;4992;119;12;3320;39;0;3320;0;0;1816;0;0;3320;0;
